,Unnamed: 0,e_form,e_hull,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen
1019,1091,-2.091,0.377,18.654,0.0,4.535,4.535,4.535,90.0,90.0,90.0,-0.732
1020,1092,-1.296,0.75,17.725,0.0,4.458,4.458,4.458,90.0,90.0,90.0,-1.53
1021,1093,-0.5329999999999999,0.769,13.697,0.0,4.091,4.091,4.091,90.0,90.0,90.0,-2.463
1022,1094,-2.502,0.208,15.888,0.0,4.2989999999999995,4.2989999999999995,4.2989999999999995,90.0,90.0,90.0,-0.121
1023,1095,-2.023,0.218,16.494,0.297,6.531000000000001,6.531000000000001,6.531000000000001,53.1,53.1,53.1,-2.485
1024,1096,-0.23,0.224,10.505999999999998,0.0,4.947,5.2139999999999995,8.146,90.0,90.0,90.0,-3.439
1025,1097,-1.398,0.557,9.647,0.0,3.64,3.64,3.64,90.0,90.0,90.0,-2.208
1026,1098,-1.028,0.154,9.505,0.0,5.167000000000001,5.167000000000001,5.167000000000001,58.9,58.9,58.9,0.91
1027,1099,0.382,0.845,12.838,0.0,4.004,4.004,4.004,90.0,90.0,90.0,-1.702
1028,1100,-0.524,1.118,7.313,0.0,3.319,3.319,3.319,90.0,90.0,90.0,-3.221
1029,1101,-1.435,0.159,15.514,0.0,5.484,6.297999999999999,8.984,90.0,90.0,90.0,-8.107999999999999
1030,1102,-0.649,0.86,7.822,0.0,3.3939999999999997,3.3939999999999997,3.3939999999999997,90.0,90.0,90.0,-3.966
1031,1103,-0.999,0.095,12.822,0.0,5.752000000000001,5.752000000000001,5.752000000000001,57.9,57.9,57.9,-0.242
1032,1105,0.28600000000000003,1.103,13.619000000000002,0.0,4.084,4.084,4.084,90.0,90.0,90.0,-5.395
1033,1106,-1.953,0.204,15.973,0.464,6.702999999999999,6.702999999999999,6.702999999999999,49.4,49.4,49.4,-4.235
1034,1107,-0.389,0.56,9.845,0.0,3.665,3.665,3.665,90.0,90.0,90.0,-1.005
1035,1108,-1.078,0.52,10.174,0.0,3.705,3.705,3.705,90.0,90.0,90.0,-0.457
1036,1109,0.6779999999999999,1.6769999999999998,16.147000000000002,0.0,4.322,4.322,4.322,90.0,90.0,90.0,-2.165
1037,1110,0.04,0.685,9.94,0.0,3.677,3.677,3.677,90.0,90.0,90.0,-3.2960000000000003
1038,1111,-2.062,0.267,13.329,0.373,6.017,6.017,6.017,54.2,54.2,54.2,-3.666
1039,1112,-1.258,1.09,15.678,0.0,4.28,4.28,4.28,90.0,90.0,90.0,-4.064
1040,1113,-1.7380000000000002,0.104,12.733,0.0,4.838,5.894,8.931000000000001,90.0,90.0,90.0,-6.9689999999999985
1041,1114,-0.649,0.508,10.271,0.0,3.717,3.717,3.717,90.0,90.0,90.0,-1.5119999999999998
1042,1115,-0.625,0.748,10.951,0.0,3.7969999999999997,3.7969999999999997,3.7969999999999997,90.0,90.0,90.0,-3.4410000000000003
1043,1116,-2.036,0.271,13.667,0.342,6.05,6.05,6.05,54.5,54.5,54.5,-4.248
1044,1117,-0.911,0.545,10.115,0.0,3.698,3.698,3.698,90.0,90.0,90.0,-0.446
1045,1118,-2.027,0.599,13.388,0.0,4.06,4.06,4.06,90.0,90.0,90.0,-0.5920000000000001
1046,1119,-0.195,0.309,11.6,0.0,5.176,5.352,8.375,90.0,90.0,90.0,-4.205
1047,1120,-2.075,0.263,13.217,0.384,6.023,6.023,6.023,53.8,53.8,53.8,-3.5380000000000003
1048,1121,-0.28,0.964,13.835,0.0,4.105,4.105,4.105,90.0,90.0,90.0,-4.021
1049,1122,-0.389,0.5720000000000001,11.438,0.0,3.853,3.853,3.853,90.0,90.0,90.0,0.8440000000000001
1050,1123,1.129,2.138,16.91,0.0,4.388999999999999,4.388999999999999,4.388999999999999,90.0,90.0,90.0,-4.542
1051,1124,-2.025,0.239,15.024,0.263,6.195,6.195,6.195,55.4,55.4,55.4,-3.569
1052,1125,0.142,1.197,8.729,0.0,3.5210000000000004,3.5210000000000004,3.5210000000000004,90.0,90.0,90.0,-7.167999999999998
1053,1126,-1.336,0.991,15.015,0.0,4.218999999999999,4.218999999999999,4.218999999999999,90.0,90.0,90.0,-3.845
1054,1127,-0.519,0.999,11.107,0.0,3.815,3.815,3.815,90.0,90.0,90.0,-4.654
1055,1128,-0.835,0.5579999999999999,10.248,0.0,3.714,3.714,3.714,90.0,90.0,90.0,-1.681
1056,1129,-1.645,0.08900000000000001,10.565,0.0,5.484,5.484,5.484,55.9,55.9,55.9,3.985
1057,1130,0.7440000000000001,1.7519999999999998,12.732,0.0,3.9930000000000003,3.9930000000000003,3.9930000000000003,90.0,90.0,90.0,-11.78
1058,1131,-2.121,0.066,11.121,0.787,5.59,5.59,5.59,55.7,55.7,55.7,4.362
1059,1132,-1.961,0.298,14.573,0.35600000000000004,6.164,6.164,6.164,54.8,54.8,54.8,-3.862
1060,1133,-0.121,0.698,9.833,0.0,3.6630000000000003,3.6630000000000003,3.6630000000000003,90.0,90.0,90.0,-2.679
1061,1134,-1.931,0.618,15.268,0.0,4.242,4.242,4.242,90.0,90.0,90.0,2.687
1062,1135,-1.0,0.045,10.191,0.0,5.277,5.277,5.277,59.1,59.1,59.1,2.299
1063,1136,-2.425,-0.243,13.659,2.633,5.994,5.994,5.994,55.6,55.6,55.6,4.128
1064,1137,-0.8270000000000001,0.16399999999999998,12.845,0.0,5.834,5.834,5.834,56.3,56.3,56.3,-2.508
1065,1138,0.086,0.6990000000000001,11.833,0.0,3.897,3.897,3.897,90.0,90.0,90.0,-2.63
1066,1139,-1.98,0.224,14.195,0.366,6.115,6.115,6.115,54.8,54.8,54.8,-3.828
1067,1140,-1.938,0.234,14.773,0.342,6.178999999999999,6.178999999999999,6.178999999999999,55.1,55.1,55.1,-3.905
1068,1141,-0.034,0.733,11.993,0.0,3.9139999999999997,3.9139999999999997,3.9139999999999997,90.0,90.0,90.0,-0.639
1069,1142,-1.756,0.523,15.125,0.8009999999999999,4.229,4.229,4.229,90.0,90.0,90.0,0.726
1070,1143,1.095,2.094,15.595,0.0,4.272,4.272,4.272,90.0,90.0,90.0,-14.336
1071,1144,-1.324,0.196,10.363,0.0,5.38,5.38,5.38,57.4,57.4,57.4,3.638
1072,1145,-0.302,0.643,11.424,0.0,3.8510000000000004,3.8510000000000004,3.8510000000000004,90.0,90.0,90.0,-0.321
1073,1146,-0.955,0.128,9.792,0.0,5.109,5.125,7.479,90.0,90.0,90.0,1.467
1074,1147,-1.305,0.03,11.001,0.0,5.447,5.447,5.447,58.4,58.4,58.4,2.079
1075,1148,-1.431,0.8059999999999999,13.325,0.0,4.053999999999999,4.053999999999999,4.053999999999999,90.0,90.0,90.0,-3.057
1076,1149,-1.607,0.5589999999999999,8.578,0.0,3.5,3.5,3.5,90.0,90.0,90.0,0.45
1077,1150,-1.991,0.274,14.041,0.368,6.098,6.098,6.098,54.7,54.7,54.7,-3.935
1078,1151,-0.828,0.6659999999999999,12.973,0.0,4.018,4.018,4.018,90.0,90.0,90.0,-1.033
1079,1152,-1.409,0.209,13.148,0.0,5.85,6.267,7.172999999999999,90.0,90.0,90.0,-8.824
1080,1153,-2.32,0.077,10.912,1.36,5.233,5.456,7.643,90.0,90.0,90.0,5.237
1081,1154,-1.918,0.224,13.473,0.366,6.037000000000001,6.037000000000001,6.037000000000001,54.3,54.3,54.3,-3.729
1082,1155,-1.295,0.056,10.239,0.0,5.382000000000001,5.382000000000001,5.382000000000001,56.9,56.9,56.9,2.9960000000000004
1083,1156,-0.951,0.151,11.749,0.0,5.602,5.602,5.602,57.6,57.6,57.6,1.048
1084,1157,-1.922,0.943,17.768,0.0,4.462,4.462,4.462,90.0,90.0,90.0,-1.294
1085,1158,-2.142,0.126,9.718,0.653,4.937,5.24,7.5120000000000005,90.0,90.0,90.0,-0.66
1086,1159,-0.494,0.297,13.088,0.0,5.8629999999999995,5.8629999999999995,5.8629999999999995,56.5,56.5,56.5,-4.277
1087,1160,-2.0980000000000003,0.212,12.845999999999998,0.384,5.95,5.95,5.95,54.1,54.1,54.1,-4.013
1088,1161,-2.609,0.011,13.29,1.769,5.912000000000001,5.912000000000001,5.912000000000001,56.1,56.1,56.1,3.2880000000000003
1089,1162,-1.737,0.111,9.48,0.343,4.949,5.1339999999999995,7.462999999999999,90.0,90.0,90.0,1.779
1090,1163,-1.739,0.217,10.669,0.0,5.5,5.5,5.5,56.0,56.0,56.0,4.6389999999999985
1091,1164,-2.041,0.266,13.364,0.37,6.027,6.027,6.027,54.1,54.1,54.1,-4.218
1092,1165,-1.595,0.275,11.075,0.0,5.662999999999999,5.665,6.903,90.0,90.0,90.0,-6.856
1093,1166,-0.068,0.914,10.874,0.0,3.7880000000000003,3.7880000000000003,3.7880000000000003,90.0,90.0,90.0,-4.296
1094,1167,-1.845,0.657,14.063,0.0,4.127,4.127,4.127,90.0,90.0,90.0,-1.012
1095,1168,-2.161,1.554,20.224,0.0,4.659,4.659,4.659,90.0,90.0,90.0,0.805
1096,1169,-1.432,0.605,12.953,0.0,4.016,4.016,4.016,90.0,90.0,90.0,-0.565
1097,1170,-3.588,-0.03,10.198,6.026,5.175,5.337999999999999,7.382999999999999,90.0,90.0,90.0,6.313
1098,1171,-1.907,0.782,12.687,0.0,3.988,3.988,3.988,90.0,90.0,90.0,2.144
1099,1172,-1.2919999999999998,0.774,13.694,0.0,4.091,4.091,4.091,90.0,90.0,90.0,-0.674
1100,1173,-2.526,0.836,8.244,3.002,3.4539999999999997,3.4539999999999997,3.4539999999999997,90.0,90.0,90.0,5.457999999999998
1101,1174,-2.8310000000000004,0.269,18.45,0.638,6.5089999999999995,6.787000000000001,8.353,90.0,90.0,90.0,-7.677
1102,1175,-2.799,0.312,9.515,0.0,3.3110000000000004,3.3110000000000004,4.341,90.0,90.0,90.0,-0.941
1103,1176,-1.518,1.144,16.579,0.0,4.36,4.36,4.36,90.0,90.0,90.0,0.7859999999999999
1104,1177,-2.141,1.075,13.605,0.0,4.082,4.082,4.082,90.0,90.0,90.0,-2.929
1105,1178,-1.598,0.8220000000000001,13.640999999999998,0.0,4.086,4.086,4.086,90.0,90.0,90.0,-1.035
1106,1179,-2.306,1.379,18.617,0.0,4.532,4.532,4.532,90.0,90.0,90.0,-3.241
1107,1181,-3.204,-0.038,11.115,2.524,5.265,5.569,7.582000000000001,90.0,90.0,90.0,4.239
1108,1183,-2.282,0.047,10.964,0.256,5.205,5.86,7.189,90.0,90.0,90.0,0.68
1109,1184,-2.904,0.946,15.461,1.645,4.26,4.26,4.26,90.0,90.0,90.0,0.855
1110,1185,-3.004,0.8690000000000001,14.941,1.781,4.212,4.212,4.212,90.0,90.0,90.0,1.611
1111,1186,-2.131,1.152,15.365,0.0,4.251,4.251,4.251,90.0,90.0,90.0,-2.3680000000000003
1112,1187,-2.782,-0.033,11.252,1.179,5.2829999999999995,5.597,7.611000000000001,90.0,90.0,90.0,3.193
1113,1188,-2.972,0.017,11.058,4.078,5.263,5.558,7.56,90.0,90.0,90.0,4.452
1114,1189,-2.789,1.032,16.035,1.31,4.312,4.312,4.312,90.0,90.0,90.0,0.097
1115,1190,-2.216,0.609,11.572,0.0,3.8680000000000003,3.8680000000000003,3.8680000000000003,90.0,90.0,90.0,2.802
1116,1191,-3.131,0.522,13.456,0.0,4.067,4.067,4.067,90.0,90.0,90.0,4.507
1117,1192,-1.177,0.93,14.656,0.0,4.185,4.185,4.185,90.0,90.0,90.0,-0.976
1118,1193,-2.9560000000000004,0.906,15.202,1.781,4.236000000000001,4.236000000000001,4.236000000000001,90.0,90.0,90.0,1.3119999999999998
1119,1194,-2.146,0.701,13.544,1.635,4.0760000000000005,4.0760000000000005,4.0760000000000005,90.0,90.0,90.0,2.656
1120,1195,-1.646,0.758,12.315,0.0,3.949,3.949,3.949,90.0,90.0,90.0,-0.915
1121,1196,-2.051,0.452,17.952,0.0,5.932,5.968,10.141,90.0,90.0,90.0,-3.943
1122,1197,-2.427,1.354,18.299,0.0,4.506,4.506,4.506,90.0,90.0,90.0,2.068
1123,1198,-2.281,0.326,10.375,0.0,4.9910000000000005,5.7620000000000005,7.215,90.0,90.0,90.0,-1.307
1124,1199,-3.148,0.758,14.264,2.1630000000000003,4.147,4.147,4.147,90.0,90.0,90.0,4.6160000000000005
1125,1200,-2.927,0.185,11.421,0.0,5.385,5.727,7.406000000000001,90.0,90.0,90.0,-1.4680000000000002
1126,1201,-2.96,0.024,11.308,0.262,5.281000000000001,5.721,7.486000000000001,90.0,90.0,90.0,3.4810000000000003
1127,1202,-2.278,0.616,12.338,0.0,3.951,3.951,3.951,90.0,90.0,90.0,1.68
1128,1203,-1.4409999999999998,1.064,12.005,0.0,3.915,3.915,3.915,90.0,90.0,90.0,-2.833
1129,1204,-2.6010000000000004,0.614,13.018,0.0,4.023,4.023,4.023,90.0,90.0,90.0,3.104
1130,1205,-2.487,1.248,17.598,0.4970000000000001,4.448,4.448,4.448,90.0,90.0,90.0,-1.117
1131,1206,-2.408,0.013,10.539,0.0,5.166,5.518,7.395,90.0,90.0,90.0,1.062
1132,1207,-2.574,1.092,17.072,0.0,4.4030000000000005,4.4030000000000005,4.4030000000000005,90.0,90.0,90.0,2.464
1133,1208,-1.693,0.755,12.181,0.0,3.9339999999999997,3.9339999999999997,3.9339999999999997,90.0,90.0,90.0,0.061
1134,1209,-2.38,0.939,17.755,0.0,4.461,4.461,4.461,90.0,90.0,90.0,2.637
1135,1210,-1.5,1.042,15.731,0.0,4.285,4.285,4.285,90.0,90.0,90.0,0.598
1136,1211,-2.205,-0.02,11.872,0.0,5.377999999999999,5.881,7.507999999999999,90.0,90.0,90.0,-0.109
1137,1212,-2.5780000000000003,1.185,17.123,0.6920000000000001,4.407,4.407,4.407,90.0,90.0,90.0,-1.45
1138,1213,-2.403,1.31,18.062,0.321,4.487,4.487,4.487,90.0,90.0,90.0,-2.614
1139,1214,-1.556,0.7170000000000001,12.892,0.0,4.01,4.01,4.01,90.0,90.0,90.0,-0.555
1140,1215,-2.624,1.117,16.572,0.0,4.36,4.36,4.36,90.0,90.0,90.0,2.792
1141,1216,-2.017,0.476,19.47,0.0,5.891,6.0089999999999995,11.001,90.0,90.0,90.0,-8.219
1142,1217,-1.905,0.7879999999999999,12.263,0.0,3.943,3.943,3.943,90.0,90.0,90.0,0.21600000000000005
1143,1219,-1.91,0.585,11.963,0.0,3.911,3.911,3.911,90.0,90.0,90.0,0.667
1144,1220,-1.734,0.98,14.845,0.0,4.203,4.203,4.203,90.0,90.0,90.0,0.89
1145,1221,-3.803,0.026,12.208,4.69,5.422000000000001,5.711,7.886,90.0,90.0,90.0,5.05
1146,1222,-2.642,0.667,9.983,0.0,3.682,3.682,3.682,90.0,90.0,90.0,4.5760000000000005
1147,1223,-2.635,1.141,16.805,0.893,4.38,4.38,4.38,90.0,90.0,90.0,-1.02
1148,1224,-2.01,0.843,13.812,0.0,4.103,4.103,4.103,90.0,90.0,90.0,2.274
1149,1225,-2.905,0.257,16.66,0.0,5.809,5.8229999999999995,9.85,90.0,90.0,90.0,-3.729
1150,1226,-2.68,0.648,12.815,0.0,4.002,4.002,4.002,90.0,90.0,90.0,3.128
1151,1227,-2.717,0.988,15.738,1.366,4.285,4.285,4.285,90.0,90.0,90.0,0.4270000000000001
1152,1228,-2.083,0.607,12.140999999999998,0.0,3.93,3.93,3.93,90.0,90.0,90.0,1.165
1153,1229,-1.422,1.134,15.137,0.0,4.23,4.23,4.23,90.0,90.0,90.0,0.8009999999999999
1154,1230,-2.775,1.057,18.86,0.0,4.552,4.552,4.552,90.0,90.0,90.0,2.41
1155,1231,-3.464,0.022,11.46,0.0,5.2989999999999995,5.667999999999999,7.63,90.0,90.0,90.0,4.715
1156,1232,-1.444,0.95,15.158,0.0,4.232,4.232,4.232,90.0,90.0,90.0,0.545
1157,1233,-3.0660000000000003,0.825,14.691,1.924,4.188,4.188,4.188,90.0,90.0,90.0,2.116
1158,1234,-2.574,1.07,16.889,0.0,4.387,4.387,4.387,90.0,90.0,90.0,2.268
1159,1235,-3.2710000000000004,-0.03,11.416,1.112,5.296,5.659,7.617999999999999,90.0,90.0,90.0,3.989
1160,1236,-2.199,0.743,12.402,0.0,3.958,3.958,3.958,90.0,90.0,90.0,1.216
1161,1237,-2.881,0.948,15.453,1.803,4.2589999999999995,4.2589999999999995,4.2589999999999995,90.0,90.0,90.0,0.899
1162,1238,-2.384,0.944,13.713,0.0,4.093,4.093,4.093,90.0,90.0,90.0,-1.931
1163,1239,-2.449,0.136,11.279000000000002,0.0,5.237,5.775,7.459,90.0,90.0,90.0,-0.224
1164,1240,-2.962,0.607,14.002,0.0,4.122,4.122,4.122,90.0,90.0,90.0,4.1530000000000005
1165,1241,-3.539,0.209,17.048,3.463,6.095,6.24,8.964,90.0,90.0,90.0,0.52
1166,1242,-1.379,0.682,12.853,0.0,4.006,4.006,4.006,90.0,90.0,90.0,-0.743
1167,1243,-3.602,-0.022,10.062,6.221,5.131,5.341,7.343,90.0,90.0,90.0,6.255
1168,1244,-1.854,0.8170000000000001,12.618,0.0,3.9810000000000003,3.9810000000000003,3.9810000000000003,90.0,90.0,90.0,2.013
1169,1245,-1.236,0.853,13.633,0.0,4.085,4.085,4.085,90.0,90.0,90.0,-0.826
1170,1246,-2.53,0.812,8.096,3.096,3.4339999999999997,3.4339999999999997,3.4339999999999997,90.0,90.0,90.0,5.502000000000002
1171,1247,-2.8480000000000003,0.276,18.174,0.6409999999999999,6.465,6.767,8.309,90.0,90.0,90.0,-8.217
1172,1248,-2.807,0.328,9.389,0.0,3.287,3.287,4.345,90.0,90.0,90.0,-1.1
1173,1249,-1.46,1.225,16.569000000000006,0.0,4.359,4.359,4.359,90.0,90.0,90.0,0.529
1174,1250,-2.099,1.14,13.969,0.0,4.118,4.118,4.118,90.0,90.0,90.0,-3.043
1175,1251,-1.5419999999999998,0.9,13.588,0.0,4.08,4.08,4.08,90.0,90.0,90.0,-1.207
1176,1252,-2.242,1.466,18.584,0.0,4.529,4.529,4.529,90.0,90.0,90.0,-3.532
1177,1253,-2.551,0.024,10.601,1.392,5.144,5.5489999999999995,7.428,90.0,90.0,90.0,2.225
1178,1254,-3.217,-0.028,10.953,2.462,5.23,5.551,7.545,90.0,90.0,90.0,4.12
1179,1256,-2.296,0.052000000000000005,10.81,0.269,5.178999999999999,5.849,7.1370000000000005,90.0,90.0,90.0,0.539
1180,1257,-2.844,1.029,15.36,1.129,4.251,4.251,4.251,90.0,90.0,90.0,0.313
1181,1258,-2.947,0.949,14.923,1.5590000000000002,4.21,4.21,4.21,90.0,90.0,90.0,1.088
1182,1259,-2.07,1.237,15.316,0.0,4.247,4.247,4.247,90.0,90.0,90.0,-2.26
1183,1261,-2.985,0.021,10.892,4.0760000000000005,5.225,5.544,7.52,90.0,90.0,90.0,4.343
1184,1262,-2.729,1.116,16.005,0.8170000000000001,4.309,4.309,4.309,90.0,90.0,90.0,-0.434
1185,1263,-2.171,0.628,11.493,0.0,3.859,3.859,3.859,90.0,90.0,90.0,2.685
1186,1264,-3.0810000000000004,0.595,13.445,0.0,4.066,4.066,4.066,90.0,90.0,90.0,4.399
1187,1265,-1.117,1.013,14.573,0.0,4.177,4.177,4.177,90.0,90.0,90.0,-1.117
1188,1266,-2.897,0.988,15.123,1.411,4.229,4.229,4.229,90.0,90.0,90.0,0.759
1189,1267,-2.095,0.775,13.618,1.406,4.083,4.083,4.083,90.0,90.0,90.0,2.577
1190,1268,-1.595,0.8320000000000001,12.25,0.0,3.9419999999999997,3.9419999999999997,3.9419999999999997,90.0,90.0,90.0,-1.136
1191,1269,-0.6609999999999999,1.874,14.248,0.0,4.145,4.145,4.145,90.0,90.0,90.0,-4.104
1192,1270,-2.364,1.44,18.281,0.0,4.505,4.505,4.505,90.0,90.0,90.0,1.788
1193,1271,-2.076,0.5539999999999999,9.417,0.0,3.611,3.611,3.611,90.0,90.0,90.0,-1.487
1194,1272,-3.092,0.8370000000000001,14.189,0.987,4.14,4.14,4.14,90.0,90.0,90.0,2.182
1195,1273,-2.572,0.564,10.890999999999998,0.0,3.79,3.79,3.79,90.0,90.0,90.0,-1.711
1196,1274,-2.971,0.036000000000000004,11.143,0.273,5.242999999999999,5.699,7.457000000000001,90.0,90.0,90.0,3.37
1197,1275,-2.225,0.693,12.292,0.0,3.946,3.946,3.946,90.0,90.0,90.0,1.409
1198,1276,-1.392,1.151,11.886,0.0,3.9019999999999997,3.9019999999999997,3.9019999999999997,90.0,90.0,90.0,-3.0380000000000003
1199,1277,-2.547,0.685,12.992,0.0,4.02,4.02,4.02,90.0,90.0,90.0,2.89
1200,1278,-2.424,1.334,17.56,0.0,4.445,4.445,4.445,90.0,90.0,90.0,-2.591
1201,1279,-2.422,0.023,10.367,0.0,5.1160000000000005,5.532,7.3260000000000005,90.0,90.0,90.0,0.935
1202,1280,-2.521,1.177,17.041,0.0,4.4,4.4,4.4,90.0,90.0,90.0,2.006
1203,1281,-1.641,0.83,12.128,0.0,3.929,3.929,3.929,90.0,90.0,90.0,-0.184
1204,1282,-2.339,1.004,17.741,0.0,4.46,4.46,4.46,90.0,90.0,90.0,2.508
1205,1283,-1.44,1.125,15.602,0.0,4.273,4.273,4.273,90.0,90.0,90.0,0.493
1206,1284,-1.67,0.5379999999999999,12.251,0.0,3.9419999999999997,3.9419999999999997,3.9419999999999997,90.0,90.0,90.0,-0.261
1207,1285,-2.515,1.271,17.07,0.344,4.4030000000000005,4.4030000000000005,4.4030000000000005,90.0,90.0,90.0,-1.673
1208,1286,-2.34,1.396,18.047,0.0,4.485,4.485,4.485,90.0,90.0,90.0,-2.93
1209,1287,-1.5019999999999998,0.794,12.825,0.0,4.003,4.003,4.003,90.0,90.0,90.0,-0.711
1210,1288,-2.576,1.189,16.570999999999998,0.0,4.36,4.36,4.36,90.0,90.0,90.0,-0.961
1211,1289,-2.146,0.371,17.854,1.3159999999999998,6.105,6.145,9.519,90.0,90.0,90.0,-3.596
1212,1290,-1.852,0.865,12.22,0.0,3.9389999999999996,3.9389999999999996,3.9389999999999996,90.0,90.0,90.0,-0.079
1213,1291,-1.806,0.609,11.886,0.0,3.9019999999999997,3.9019999999999997,3.9019999999999997,90.0,90.0,90.0,-0.384
1214,1292,-1.86,0.6579999999999999,11.897,0.0,3.904,3.904,3.904,90.0,90.0,90.0,0.413
1215,1293,-1.6780000000000002,1.06,14.796,0.0,4.198,4.198,4.198,90.0,90.0,90.0,0.53
1216,1294,-3.269,0.583,12.575,2.7510000000000003,3.9760000000000004,3.9760000000000004,3.9760000000000004,90.0,90.0,90.0,4.961
1217,1295,-2.61,0.795,9.83,0.0,3.6630000000000003,3.6630000000000003,3.6630000000000003,90.0,90.0,90.0,4.497
1218,1296,-2.573,1.226,16.759,0.5329999999999999,4.376,4.376,4.376,90.0,90.0,90.0,-1.555
1219,1297,-1.956,0.907,13.706,0.0,4.092,4.092,4.092,90.0,90.0,90.0,2.19
1220,1298,-2.886,0.3,15.856,0.0,5.898,5.936,9.057,90.0,90.0,90.0,-4.194
1221,1299,-2.629,0.713,12.78,0.0,3.998,3.998,3.998,90.0,90.0,90.0,2.891
1222,1300,-2.658,1.071,15.697,0.985,4.282,4.282,4.282,90.0,90.0,90.0,0.0
1223,1301,-2.031,0.682,12.073,0.0,3.923,3.923,3.923,90.0,90.0,90.0,0.883
1224,1302,-1.368,1.205,15.123,0.0,4.229,4.229,4.229,90.0,90.0,90.0,0.615
1225,1303,-2.732,1.123,18.856,0.0,4.551,4.551,4.551,90.0,90.0,90.0,1.975
1226,1304,-3.4730000000000003,0.036000000000000004,11.287,0.0,5.2620000000000005,5.649,7.595,90.0,90.0,90.0,4.577
1227,1305,-1.384,1.033,15.091,0.0,4.226,4.226,4.226,90.0,90.0,90.0,0.415
1228,1306,-3.008,0.906,14.6,1.7009999999999998,4.178999999999999,4.178999999999999,4.178999999999999,90.0,90.0,90.0,2.033
1229,1307,-2.528,1.139,16.835,0.0,4.383,4.383,4.383,90.0,90.0,90.0,1.558
1230,1308,-3.282,-0.018000000000000002,11.251,1.138,5.263,5.6370000000000005,7.585,90.0,90.0,90.0,3.881
1231,1309,-2.147,0.867,12.372,0.0,3.955,3.955,3.955,90.0,90.0,90.0,0.934
1232,1310,-2.821,1.031,15.395,1.4469999999999998,4.254,4.254,4.254,90.0,90.0,90.0,0.436
1233,1311,-2.33,1.022,13.649,0.0,4.087,4.087,4.087,90.0,90.0,90.0,-2.139
1234,1312,-2.459,0.149,11.089,0.0,5.21,5.7410000000000005,7.416,90.0,90.0,90.0,-0.385
1235,1313,-2.91,0.6829999999999999,13.973,0.0,4.119,4.119,4.119,90.0,90.0,90.0,4.018
1236,1314,-2.572,0.5760000000000001,19.427,0.0,4.5969999999999995,4.5969999999999995,4.5969999999999995,90.0,90.0,90.0,-0.486
1237,1315,-1.517,-0.027000000000000003,12.617,0.0,5.537999999999999,5.81,7.843,90.0,90.0,90.0,-0.606
1238,1316,-3.105,-0.075,10.325,0.0,3.7239999999999998,3.7239999999999998,3.7239999999999998,90.0,90.0,90.0,0.755
1239,1317,-2.314,-0.081,12.16,0.0,3.81,3.81,4.188,90.0,90.0,90.0,2.4530000000000003
1240,1318,-1.587,-0.057,12.794,0.0,5.61,5.931,7.69,90.0,90.0,90.0,-0.489
1241,1319,-2.082,0.846,8.35,0.0,3.469,3.469,3.469,90.0,90.0,90.0,-0.8220000000000001
1242,1320,-2.44,0.189,17.65,2.094,6.58,6.659,8.056000000000001,90.0,90.0,90.0,-1.7619999999999998
1243,1321,-2.309,0.249,9.202,0.0,3.583,3.583,3.583,90.0,90.0,90.0,-0.922
1244,1322,-2.255,-0.106,14.761,0.0,5.807,6.071000000000001,8.373,90.0,90.0,90.0,1.429
1245,1323,-2.0780000000000003,0.585,15.155,0.0,4.232,4.232,4.232,90.0,90.0,90.0,-1.855
1246,1324,-1.69,0.163,13.404000000000002,0.0,5.659,5.96,7.949,90.0,90.0,90.0,-1.123
1247,1325,-2.557,0.562,18.15,0.0,4.494,4.494,4.494,90.0,90.0,90.0,-1.183
1248,1326,-2.138,-0.038,10.583,0.0,5.257999999999999,5.313,7.577000000000001,90.0,90.0,90.0,1.59
1249,1327,-2.8,-0.051,10.803,0.605,5.334,5.352,7.569,90.0,90.0,90.0,2.113
1250,1328,-0.846,1.155,17.852999999999994,0.0,4.468999999999999,4.468999999999999,4.468999999999999,90.0,90.0,90.0,-1.355
1251,1329,-1.783,0.059,10.542,0.0,5.269,5.329,7.5089999999999995,90.0,90.0,90.0,0.065
1252,1330,-3.173,0.11,14.724,0.0,5.8660000000000005,6.064,8.277999999999999,90.0,90.0,90.0,-0.884
1253,1331,-3.209,0.098,14.407,0.0,5.813,6.018,8.236,90.0,90.0,90.0,-0.805
1254,1332,-2.199,0.519,14.814,0.0,4.2,4.2,4.2,90.0,90.0,90.0,-1.227
1255,1333,-2.417,-0.078,10.78,0.0,5.324,5.3629999999999995,7.551,90.0,90.0,90.0,1.6669999999999998
1256,1334,-2.43,0.013,11.255,0.0,5.329,5.329,5.329,62.3,62.3,62.3,-0.252
1257,1335,-3.132,0.123,15.06,0.0,5.912999999999999,6.098,8.353,90.0,90.0,90.0,-0.954
1258,1336,-2.704,-0.212,10.559,1.791,5.284,5.284,5.284,60.5,60.5,60.5,4.364
1259,1337,-3.844,-0.182,12.898,4.521,5.622999999999999,5.727,8.01,90.0,90.0,90.0,6.69
1260,1338,-1.496,0.045,13.993,0.0,5.73,6.504,7.5089999999999995,90.0,90.0,90.0,-0.919
1261,1339,-3.192,0.104,14.563,0.0,5.835,6.039,8.266,90.0,90.0,90.0,-0.853
1262,1340,-2.217,0.085,13.472,0.0,5.687,5.96,7.949,90.0,90.0,90.0,-0.835
