,Unnamed: 0,pf_n,pf_p,s_n,s_p,m_n,m_p
1074,1075,1.57,0.7190000000000001,-406.0,464.0,0.315,0.768
1075,1076,1.35,0.361,-551.0,704.0,0.64,2.65
1076,1077,0.7879999999999999,0.0233,-454.0,812.0,0.871,26.5
1077,1078,0.885,0.142,-419.0,697.0,0.562,3.74
1078,1079,1.7,0.57,-433.0,610.0,26.1,0.982
1079,1080,0.988,0.121,-367.0,756.0,0.384,3.14
1080,1081,0.659,1.25,-567.0,444.0,1.58,0.727
1081,1082,1.01,0.249,-365.0,601.0,0.373,3.46
1082,1083,0.53,0.233,-573.0,715.0,34.8,266.0
1083,1084,0.897,0.141,-428.0,722.0,0.632,3.68
1084,1085,0.371,0.115,-608.0,732.0,2.96,9.1
1085,1086,0.293,0.0242,-633.0,849.0,19.7,48.5
1086,1087,0.903,0.101,-394.0,765.0,0.485,4.33
1087,1088,1.09,0.379,-563.0,672.0,0.867,2.8
1088,1089,1.24,0.223,-561.0,693.0,0.716,3.98
1089,1090,1.02,0.289,-350.0,663.0,0.339,11.8
1090,1091,0.359,0.0265,-605.0,791.0,3.76,46.5
1091,1092,1.14,0.275,-590.0,737.0,0.863,3.57
1092,1093,1.39,0.418,-366.0,495.0,0.583,2.39
1093,1094,0.855,0.17800000000000002,-406.0,751.0,0.544,2.62
1094,1095,2.4,2.37,-547.0,536.0,183.0,1.02
1095,1096,0.184,0.484,-735.0,670.0,8.81,3.44
1096,1097,1.04,0.529,-574.0,628.0,0.897,1.75
1097,1098,0.0413,0.34700000000000003,-753.0,717.0,65.9,9.31
1098,1099,1.07,0.585,-543.0,618.0,0.78,1.42
1099,1100,1.1,0.111,-364.0,659.0,0.342,3.37
1100,1101,1.01,0.204,-378.0,651.0,0.483,2.16
1101,1102,1.03,0.0531,-349.0,916.0,0.333,6.47
1102,1103,1.4,0.613,-457.0,595.0,17.7,1.72
1103,1104,0.945,0.114,-409.0,642.0,0.509,6.91
1104,1105,0.975,0.188,-380.0,602.0,0.417,12.7
1105,1106,1.41,0.259,-474.0,709.0,42.8,2.54
1106,1107,1.04,0.0359,-424.0,735.0,0.8220000000000001,22.6
1107,1108,0.921,0.35,-430.0,650.0,0.727,30.2
1108,1109,0.573,0.8220000000000001,-631.0,523.0,2.62,1.39
1109,1110,0.621,0.0805,-511.0,779.0,1.24,9.65
1110,1111,0.754,0.371,-724.0,678.0,1.96,3.99
1111,1112,0.732,0.0318,-459.0,861.0,0.813,19.6
1112,1113,0.417,0.0247,-591.0,806.0,5.04,175.0
1113,1114,0.861,0.141,-615.0,749.0,7.26,11.6
1114,1115,1.64,0.441,-626.0,614.0,1.03,5.14
1115,1116,0.0869,0.391,-691.0,612.0,15.9,4.04
1116,1117,0.0757,0.0448,-707.0,760.0,22.2,64.9
1117,1118,0.895,0.0198,-407.0,810.0,0.521,23.6
1118,1119,0.774,0.18,-586.0,675.0,101.0,5.8
1119,1120,0.293,0.17,-722.0,719.0,6.55,23.4
1120,1121,0.478,0.14400000000000002,-689.0,778.0,3.35,45.9
1121,1122,0.171,0.505,-669.0,626.0,17.9,8.16
1122,1123,0.711,0.179,-676.0,724.0,1.81,7.2
1123,1124,0.956,0.0155,-412.0,824.0,0.501,31.0
1124,1125,0.989,0.00427,-394.0,838.0,0.442,102.0
1125,1126,0.873,0.00995,-417.0,883.0,0.562,49.3
1126,1127,0.899,0.0122,-389.0,800.0,0.475,35.1
1127,1128,0.8590000000000001,0.0379,-422.0,749.0,0.585,20.8
1128,1129,0.696,0.467,-596.0,772.0,1.46,23.4
1129,1130,0.218,0.194,-685.0,729.0,36.7,95.4
1130,1131,0.6920000000000001,0.706,-737.0,709.0,2.21,124.0
1131,1132,0.318,0.269,-727.0,794.0,6.93,10.4
1132,1133,1.28,0.301,-587.0,767.0,1.09,3.34
1133,1134,0.8340000000000001,0.397,-503.0,745.0,1.31,1.81
1134,1135,1.49,0.53,-505.0,754.0,0.484,2.7
1135,1136,1.96,1.84,-507.0,486.0,0.494,0.841
1136,1137,0.997,0.46,-438.0,593.0,0.879,1.89
1137,1138,0.862,0.0162,-417.0,777.0,0.568,39.9
1138,1139,0.794,0.0885,-452.0,759.0,0.799,30.3
1139,1140,1.01,0.586,-449.0,494.0,0.636,1.1
1140,1141,1.0,0.494,-361.0,564.0,0.3670000000000001,0.746
1141,1142,0.682,0.32299999999999995,-615.0,764.0,2.79,5.4
1142,1143,0.953,0.0337,-401.0,849.0,0.476,21.9
1143,1144,0.6920000000000001,0.0934,-485.0,761.0,0.966,13.0
1144,1145,0.287,0.17,-662.0,758.0,283.0,559.0
1145,1146,1.34,0.194,-611.0,767.0,0.784,6.55
1146,1147,1.63,2.24,-505.0,437.0,0.446,1.37
1147,1148,0.6869999999999999,0.438,-597.0,795.0,1.49,29.0
1148,1149,0.909,0.0387,-402.0,787.0,0.5,24.6
1149,1150,0.93,0.0141,-399.0,798.0,0.484,41.8
1150,1151,0.8390000000000001,0.0673,-424.0,740.0,0.605,9.48
1151,1152,0.946,0.0497,-403.0,701.0,0.484,14.0
1152,1153,0.416,0.297,-685.0,693.0,3.59,14.8
1153,1154,0.68,0.421,-598.0,808.0,1.5,48.3
1154,1155,0.463,0.24,-678.0,728.0,4.02,6.33
1155,1156,0.816,0.0474,-440.0,714.0,0.6729999999999999,13.4
1156,1157,0.872,0.0603,-428.0,783.0,0.63,9.96
1157,1158,0.743,0.048,-456.0,773.0,0.794,20.1
1158,1159,0.858,0.0107,-411.0,767.0,0.5539999999999999,219.0
1159,1160,0.314,0.449,-710.0,639.0,8.05,4.71
1160,1161,0.956,0.0702,-385.0,777.0,0.436,9.47
1161,1162,0.906,0.0885,-397.0,698.0,0.49,26.4
1162,1163,0.545,0.204,-708.0,825.0,2.79,118.0
1163,1164,0.823,0.0401,-431.0,783.0,0.637,22.0
1164,1165,0.8959999999999999,0.126,-403.0,751.0,0.512,29.2
1165,1166,0.303,0.0627,-657.0,762.0,4.54,25.8
1166,1167,0.542,0.0549,-430.0,813.0,0.974,10.8
1167,1168,0.386,0.107,-676.0,772.0,3.49,12.7
1168,1169,1.0,0.0651,-391.0,699.0,0.431,33.8
1169,1170,0.541,0.147,-542.0,699.0,1.78,6.09
1170,1171,0.0795,0.369,-836.0,766.0,2120.0,628.0
1171,1172,0.41,0.147,-782.0,827.0,4.5,70.7
1172,1173,0.911,0.0346,-423.0,786.0,0.5539999999999999,153.0
1173,1174,0.579,0.307,-776.0,841.0,2.99,31.3
1174,1175,1.36,0.242,-505.0,768.0,0.53,2.97
1175,1176,0.146,0.21600000000000005,-709.0,737.0,54.5,11.2
1176,1177,0.908,0.0308,-405.0,783.0,0.515,18.6
1177,1178,0.629,0.248,-609.0,724.0,1.91,4.93
1178,1179,0.6990000000000001,0.11,-516.0,704.0,1.1,6.96
1179,1180,0.564,0.214,-619.0,710.0,3.49,8.8
1180,1181,0.872,0.0677,-417.0,774.0,0.562,10.1
1181,1182,0.8420000000000001,0.185,-399.0,708.0,0.5529999999999999,2.96
1182,1183,0.0447,0.0146,-780.0,839.0,38.3,118.0
1183,1184,0.976,0.0218,-381.0,894.0,0.419,140.0
1184,1185,0.98,0.132,-385.0,690.0,0.428,15.0
1185,1186,0.932,0.214,-534.0,733.0,0.946,5.75
1186,1187,0.674,0.184,-478.0,643.0,0.96,4.47
1187,1188,0.944,0.0705,-380.0,779.0,0.431,7.11
1188,1189,0.0142,0.00277,-778.0,830.0,125.0,683.0
1189,1190,0.0191,0.0201,-667.0,571.0,248.0,3710.0
1190,1191,0.889,0.0626,-431.0,737.0,0.5920000000000001,40.3
1191,1192,0.83,0.0363,-437.0,765.0,0.6509999999999999,149.0
1192,1193,0.0241,1.55,-891.0,556.0,103.0,2.04
1193,1194,0.872,0.377,-409.0,539.0,0.542,1.82
1194,1195,0.713,0.0445,-466.0,825.0,0.863,13.8
1195,1196,1.7,1.47,-512.0,566.0,2.02,0.519
1196,1197,0.965,0.101,-409.0,757.0,0.49,621.0
1197,1198,0.986,0.127,-370.0,805.0,0.39,3.02
1198,1199,0.9,0.115,-411.0,682.0,0.529,28.7
1199,1200,1.57,1.21,-508.0,526.0,0.581,0.636
1200,1201,0.871,0.387,-414.0,539.0,0.555,1.81
1201,1202,0.856,0.0226,-422.0,868.0,0.586,22.2
1202,1203,0.665,0.388,-499.0,616.0,1.18,1.96
1203,1204,0.655,0.0182,-500.0,792.0,1.09,78.8
1204,1205,0.987,0.768,-509.0,575.0,0.958,35.2
1205,1206,1.19,0.67,-462.0,565.0,0.535,40.0
1206,1207,0.191,0.187,-665.0,711.0,9.78,7.2
1207,1208,0.879,0.0437,-416.0,757.0,0.555,29.9
1208,1209,0.727,0.0245,-463.0,836.0,0.838,42.6
1209,1210,0.616,0.0934,-549.0,720.0,1.67,14.0
1210,1211,0.846,0.0153,-429.0,768.0,0.616,550.0
1211,1212,0.91,0.051,-405.0,751.0,0.513,77.8
1212,1213,0.769,0.123,-451.0,822.0,0.7440000000000001,4.72
1213,1214,0.623,0.0937,-608.0,807.0,2.33,11.7
1214,1215,0.486,0.0515,-608.0,822.0,4.11,28.7
1215,1216,0.848,0.031,-422.0,858.0,0.593,16.2
1216,1217,0.961,0.152,-388.0,751.0,0.444,2.85
1217,1218,0.95,0.0228,-424.0,824.0,0.535,35.4
1218,1219,0.843,0.0168,-428.0,811.0,0.613,281.0
1219,1220,0.7090000000000001,0.0359,-467.0,754.0,0.904,96.3
1220,1221,0.173,0.0628,-657.0,793.0,7.1,20.5
1221,1222,1.1,0.0394,-555.0,923.0,0.7909999999999999,22.0
1222,1223,0.7909999999999999,0.126,-599.0,821.0,1.85,8.05
1223,1224,0.742,0.0432,-459.0,736.0,0.956,21700.0
1224,1225,0.383,0.0966,-643.0,760.0,5.81,16.8
1225,1226,0.895,0.0252,-432.0,772.0,0.588,42.2
1226,1227,0.97,0.065,-376.0,795.0,0.413,10.2
1227,1228,0.914,0.0409,-382.0,738.0,0.458,37.4
1228,1229,0.6579999999999999,0.15,-582.0,728.0,2.08,13.3
1229,1230,0.845,0.0452,-417.0,689.0,0.579,12.4
1230,1231,0.999,0.0827,-399.0,780.0,0.451,6.03
1231,1232,0.6679999999999999,0.101,-552.0,787.0,2.21,3170.0
1232,1233,0.795,0.0144,-422.0,787.0,0.63,36.1
1233,1234,0.804,0.0262,-427.0,703.0,0.64,23.8
1234,1235,0.93,0.0674,-408.0,735.0,0.504,18.7
1235,1236,0.906,0.0306,-406.0,790.0,0.514,86.9
1236,1237,0.8959999999999999,0.0279,-409.0,758.0,0.528,32.9
1237,1238,0.8690000000000001,0.0333,-416.0,739.0,0.562,105.0
1238,1239,0.8959999999999999,0.02,-416.0,754.0,0.546,27.9
1239,1240,1.36,0.365,-509.0,665.0,0.542,2.01
1240,1241,0.919,0.6869999999999999,-400.0,547.0,0.49,0.655
1241,1242,0.919,0.412,-422.0,549.0,0.607,2.21
1242,1243,0.936,0.227,-392.0,672.0,0.473,163.0
1243,1244,0.6559999999999999,0.269,-636.0,707.0,3.25,13.2
1244,1245,0.765,0.0964,-576.0,777.0,11.2,11.5
1245,1246,0.0735,0.0218,-744.0,766.0,80.4,91.1
1246,1247,0.937,0.0333,-433.0,782.0,0.57,44.6
1247,1248,0.8490000000000001,0.0173,-425.0,782.0,0.605,45.0
1248,1249,0.875,0.00992,-412.0,844.0,0.547,53.0
1249,1250,0.83,0.00919,-442.0,848.0,0.669,65.6
1250,1251,0.884,0.0394,-423.0,801.0,0.617,272.0
1251,1252,0.7090000000000001,0.0041,-488.0,845.0,0.945,163.0
1252,1253,0.157,0.242,-649.0,604.0,11.4,75.9
1253,1254,0.779,0.0588,-449.0,795.0,0.75,26.6
1254,1255,1.97,0.911,-532.0,617.0,0.421,1.03
1255,1256,0.435,0.104,-665.0,788.0,6.44,13.3
1256,1257,0.6559999999999999,0.196,-497.0,732.0,1.17,4.53
1257,1258,0.8440000000000001,0.124,-422.0,653.0,0.599,5.95
1258,1259,0.471,0.363,-722.0,720.0,3.29,5.36
1259,1260,0.877,0.0918,-424.0,756.0,0.579,44.7
1260,1261,0.727,0.108,-462.0,662.0,0.914,61.2
1261,1262,0.4970000000000001,0.151,-584.0,670.0,62.6,67.2
1262,1263,1.26,0.373,-505.0,640.0,0.5770000000000001,11.0
1263,1264,0.905,0.069,-407.0,783.0,0.523,6.75
1264,1265,0.889,0.0373,-411.0,745.0,0.54,207.0
1265,1266,0.915,0.0216,-412.0,785.0,0.524,29.6
1266,1267,0.878,0.0199,-417.0,735.0,0.5579999999999999,84.5
1267,1268,0.685,0.0857,-507.0,686.0,1.06,62.9
1268,1269,0.902,0.0732,-415.0,765.0,0.5429999999999999,69.9
1269,1270,0.7609999999999999,0.00181,-455.0,857.0,0.774,328.0
1270,1271,1.01,0.53,-575.0,714.0,2.43,4.21
1271,1272,1.22,0.639,-585.0,568.0,1.06,2.35
1272,1273,0.228,0.073,-710.0,843.0,6.87,35.3
1273,1274,0.284,0.102,-740.0,843.0,5.43,15.1
1274,1275,0.821,1.68,-779.0,642.0,2.08,1.02
1275,1276,0.293,0.27,-694.0,645.0,4.78,6.58
1276,1277,0.337,0.183,-687.0,684.0,17.8,9.24
1277,1278,0.0912,0.154,-724.0,728.0,128.0,10.1
1278,1279,0.2,0.382,-692.0,646.0,7.44,4.57
1279,1280,0.546,0.212,-529.0,616.0,105.0,9.76
1280,1281,0.14800000000000002,0.586,-674.0,606.0,99.5,8.73
1281,1282,0.118,0.217,-819.0,761.0,16.0,8.71
1282,1283,0.28800000000000003,0.277,-718.0,762.0,16.5,17.4
1283,1284,0.7929999999999999,0.513,-546.0,652.0,1.38,21.6
1284,1285,0.387,0.117,-490.0,673.0,1.93,19.3
1285,1286,0.0766,0.28800000000000003,-736.0,643.0,22.1,7.15
1286,1287,0.307,0.104,-595.0,682.0,10.4,78.1
1287,1288,0.134,0.675,-752.0,652.0,32.6,127.0
1288,1289,1.23,0.362,-337.0,624.0,0.279,2.9
1289,1290,0.202,0.0155,-676.0,703.0,8.41,106.0
1290,1291,0.253,0.532,-687.0,741.0,21.7,38.5
1291,1292,0.456,0.0803,-741.0,794.0,46.6,35.5
1292,1293,0.51,0.568,-681.0,619.0,23.2,75.4
1293,1294,0.4970000000000001,0.192,-653.0,762.0,4.42,7.15
1294,1295,0.361,0.225,-325.0,400.0,2.34,1.99
1295,1296,0.278,0.201,-645.0,712.0,4.21,5.84
1296,1297,1.12,0.48,-608.0,649.0,0.934,2.18
1297,1298,0.5379999999999999,0.5920000000000001,-673.0,652.0,4.74,2.89
1298,1299,1.38,0.35700000000000004,-415.0,674.0,0.35200000000000004,1.36
1299,1300,0.51,0.121,-467.0,754.0,1.23,5.57
1300,1301,0.123,0.29600000000000004,-741.0,686.0,14.9,5.98
1301,1302,0.231,0.335,-724.0,657.0,6.45,4.41
1302,1303,1.27,0.247,-563.0,783.0,0.703,3.62
1303,1304,0.866,1.1,-619.0,634.0,1.25,0.978
1304,1305,0.584,0.382,-616.0,625.0,7.02,3.33
1305,1306,0.172,0.0984,-728.0,780.0,17.2,16.6
1306,1307,0.77,0.336,-539.0,659.0,1.36,37.2
1307,1308,1.66,0.8420000000000001,-474.0,618.0,0.38,0.7509999999999999
1308,1309,0.994,1.43,-557.0,618.0,3160.0,74.6
1309,1310,0.197,0.35,-806.0,682.0,10.8,7.97
1310,1311,0.00288,0.0172,-633.0,760.0,488.0,67.0
1311,1312,0.1,0.16,-779.0,790.0,19.8,135.0
1312,1313,0.0046,0.0133,-849.0,697.0,648.0,326.0
1313,1314,0.417,0.268,-660.0,661.0,27.2,46.5
1314,1315,0.7909999999999999,0.215,-620.0,649.0,56.2,44.9
1315,1316,0.441,0.112,-660.0,761.0,5.39,272.0
1316,1317,0.105,0.908,-734.0,648.0,118.0,11.2
1317,1318,0.693,0.192,-576.0,658.0,11.8,14.1
1318,1319,0.0763,0.518,-722.0,674.0,20.9,63.9
1319,1320,0.155,0.0776,-655.0,747.0,8.78,16.6
1320,1321,0.259,0.199,-669.0,770.0,18.2,11.7
1321,1322,0.229,0.378,-758.0,711.0,13.9,5.52
1322,1323,0.32,0.0923,-703.0,748.0,88.7,31.6
1323,1324,0.557,0.163,-627.0,714.0,86.8,125.0
1324,1325,0.458,0.457,-575.0,595.0,2.24,2.05
1325,1326,0.0191,0.00909,-578.0,-324.0,50.2,104.0
1326,1327,0.0131,0.121,-756.0,695.0,152.0,24.1
1327,1328,0.317,0.416,-641.0,599.0,8.94,3.16
1328,1329,0.218,0.454,-765.0,649.0,12.6,3.68
1329,1330,0.0207,0.0151,-696.0,767.0,91.2,173.0
1330,1331,0.778,0.354,-491.0,779.0,1.25,2.01
1331,1332,0.0728,0.135,-788.0,749.0,34.9,41.7
1332,1333,1.48,0.5710000000000001,-370.0,559.0,0.387,1.2
1333,1334,0.135,0.373,-680.0,632.0,204.0,14.7
1334,1335,0.231,0.594,-681.0,562.0,38.4,42.6
1335,1336,0.0047,0.0469,-749.0,756.0,563.0,41.6
1336,1337,0.675,0.00705,-293.0,842.0,0.359,34.4
1337,1338,0.588,0.154,-714.0,797.0,418.0,14.3
1338,1339,0.0179,0.00456,-687.0,795.0,292.0,2210.0
1339,1340,0.0173,0.0215,-684.0,756.0,614.0,220.0
1340,1341,0.394,0.0539,-530.0,741.0,2.85,23.4
1341,1342,0.00247,0.00704,-712.0,772.0,648.0,1730.0
1342,1343,0.225,0.34,-681.0,669.0,11.4,9.83
1343,1344,0.805,0.16699999999999998,-717.0,805.0,169.0,23.4
1344,1345,0.593,0.131,-606.0,714.0,2.93,20.6
1345,1346,0.599,0.473,-820.0,768.0,3.17,4.01
1346,1347,0.716,0.0184,-477.0,784.0,0.957,45.3
1347,1348,0.779,0.114,-455.0,664.0,0.763,5.24
1348,1349,0.225,0.32,-706.0,675.0,11.0,42.1
1349,1350,0.0928,0.0941,-690.0,687.0,171.0,79.5
1350,1351,0.684,0.333,-644.0,671.0,1.79,5.4
1351,1352,1.03,0.0472,-348.0,837.0,0.331,43.7
1352,1353,0.879,0.107,-408.0,764.0,0.5329999999999999,4.37
1353,1354,0.451,0.45,-664.0,632.0,7.36,5.14
1354,1355,1.43,0.597,-712.0,624.0,1.0,2.53
1355,1356,0.653,0.405,-589.0,708.0,2.81,4.1
1356,1357,0.258,0.213,-722.0,734.0,8.72,9.99
1357,1358,1.93,2.15,-438.0,303.0,0.28,0.251
1358,1359,0.465,0.215,-618.0,663.0,3.18,8.23
1359,1360,0.287,0.0664,-679.0,749.0,4.99,23.9
1360,1361,0.5429999999999999,0.271,-645.0,692.0,2.45,11.9
1361,1362,0.8590000000000001,0.0732,-410.0,755.0,0.5579999999999999,22.3
1362,1363,0.718,0.392,-482.0,618.0,1.02,2.42
1363,1364,1.07,1.5,-535.0,497.0,0.978,0.581
1364,1365,0.638,0.0686,-508.0,774.0,1.35,37.2
1365,1366,0.6579999999999999,0.211,-617.0,671.0,8.84,15.5
1366,1367,0.899,0.0568,-413.0,840.0,0.556,9.76
1367,1368,0.823,0.136,-438.0,758.0,0.67,4.32
1368,1369,0.861,0.0834,-419.0,754.0,0.575,20.1
1369,1370,0.268,0.0772,-698.0,758.0,5.37,18.3
1370,1371,0.845,0.0141,-431.0,760.0,0.625,57.6
1371,1372,0.5579999999999999,0.273,-544.0,725.0,1.66,3.24
1372,1373,0.6829999999999999,0.316,-701.0,745.0,25.7,5.95
1373,1374,0.958,0.185,-432.0,675.0,0.8140000000000001,4.23
1374,1375,0.575,0.271,-623.0,664.0,5.5,7.29
1375,1376,0.98,0.0275,-372.0,764.0,0.403,18.4
1376,1377,0.88,0.0498,-416.0,698.0,0.555,50.5
1377,1378,0.935,0.0507,-374.0,702.0,0.424,7.94
1378,1379,0.989,0.515,-399.0,484.0,0.455,1.02
1379,1380,0.999,0.429,-455.0,614.0,1.06,1.8
1380,1381,0.821,0.71,-525.0,685.0,1.88,15.9
1381,1382,0.574,0.501,-584.0,576.0,11.4,14.9
1382,1383,0.764,0.096,-461.0,751.0,0.8009999999999999,19.3
1383,1384,0.93,0.00369,-424.0,933.0,0.544,137.0
1384,1385,1.18,0.628,-449.0,529.0,0.573,1.03
1385,1386,0.89,0.0297,-401.0,778.0,0.509,25.0
1386,1387,0.125,0.306,-754.0,636.0,20.9,38.7
1387,1388,0.0895,0.0748,-778.0,752.0,19.8,25.7
1388,1389,0.58,0.171,-626.0,726.0,2.2,6.48
1389,1390,0.127,0.0353,-685.0,814.0,19.9,743.0
1390,1391,0.7140000000000001,0.632,-631.0,633.0,91.7,132.0
1391,1392,0.326,0.378,-730.0,642.0,4.66,16.8
1392,1393,0.958,0.34600000000000003,-393.0,556.0,0.504,2.67
1393,1394,0.381,0.228,-544.0,522.0,2.62,4.87
1394,1395,0.444,0.156,-645.0,693.0,4.44,21.9
1395,1396,0.938,0.138,-511.0,750.0,2.48,8.47
1396,1397,1.07,1.02,-523.0,552.0,6.01,79.5
1397,1398,0.385,0.104,-673.0,754.0,6.12,16.5
1398,1399,0.23,0.107,-698.0,806.0,6.31,19.5
1399,1400,0.892,0.166,-393.0,707.0,0.49,5.37
1400,1401,1.54,0.534,-572.0,616.0,0.7,2.65
1401,1402,1.74,0.267,-491.0,727.0,0.392,2.86
1402,1403,0.331,0.2,-702.0,702.0,6.22,7.32
1403,1404,1.02,0.0573,-513.0,711.0,0.7240000000000001,12.9
1404,1405,0.8059999999999999,0.12,-451.0,714.0,0.747,8.12
1405,1406,0.6809999999999999,0.255,-576.0,706.0,2.12,256.0
1406,1407,0.933,0.297,-528.0,675.0,1.07,3.05
1407,1408,0.503,0.126,-696.0,738.0,4.62,13.6
1408,1409,0.924,0.934,-501.0,455.0,1.5,0.8029999999999999
1409,1410,1.43,1.37,-525.0,501.0,0.542,0.5670000000000001
1410,1411,1.91,1.05,-495.0,562.0,140.0,2.73
1411,1412,0.684,0.591,-503.0,583.0,1.07,2.57
1412,1413,0.293,0.0493,-663.0,810.0,7.3,50.9
1413,1414,0.466,0.227,-616.0,642.0,3.07,30.8
1414,1415,0.247,0.321,-840.0,844.0,8.04,6.19
1415,1416,0.308,0.012,-513.0,767.0,2.69,61.7
1416,1417,1.16,0.243,-546.0,772.0,2.15,12.2
1417,1418,0.457,0.224,-720.0,746.0,3.52,15.7
1418,1419,0.21,0.02,-751.0,863.0,7.6,99.3
1419,1420,0.397,0.065,-615.0,768.0,2.92,21.9
1420,1421,0.6729999999999999,0.168,-508.0,678.0,1.18,4.43
1421,1422,0.248,0.0008759999999999999,-592.0,719.0,4.65,5360.0
1422,1423,0.89,0.0657,-416.0,797.0,0.562,7.62
1423,1424,0.879,0.28300000000000003,-693.0,679.0,10.1,5.52
1424,1425,0.504,0.207,-591.0,704.0,3.16,8.69
1425,1426,0.113,0.404,-740.0,669.0,15.0,4.64
1426,1427,0.667,0.342,-550.0,603.0,3.03,10.1
1427,1428,1.12,0.227,-524.0,709.0,0.8340000000000001,6.14
1428,1429,1.19,0.75,-412.0,428.0,0.718,0.638
1429,1430,0.463,0.337,-525.0,583.0,1.68,22.6
1430,1431,0.232,0.172,-728.0,752.0,9.59,38.3
1431,1432,0.965,0.662,-490.0,574.0,1.6,9.33
1432,1433,0.69,0.552,-682.0,677.0,2.41,82.2
1433,1434,0.58,0.578,-642.0,677.0,2.58,3.09
1434,1435,0.0745,0.0387,-644.0,790.0,21.3,43.6
1435,1436,0.867,0.225,-417.0,756.0,0.5660000000000001,2.18
1436,1437,0.521,0.0137,-541.0,937.0,1.59,62.1
1437,1438,0.535,0.0647,-530.0,784.0,1.48,14.4
1438,1439,0.91,0.11,-387.0,735.0,0.466,35.0
1439,1440,0.6729999999999999,0.0958,-511.0,791.0,1.2,8.97
1440,1441,0.847,0.281,-604.0,698.0,1.22,3.94
1441,1442,0.0316,0.0257,-745.0,741.0,61.8,151.0
1442,1443,0.8,0.0368,-438.0,849.0,0.6809999999999999,14.8
1443,1444,0.931,0.0577,-403.0,714.0,0.491,24.0
1444,1445,0.505,0.00583,-566.0,750.0,2.05,3410.0
1445,1446,0.851,0.517,-524.0,674.0,1.13,1.71
1446,1447,2.2,0.585,-374.0,637.0,0.18600000000000005,2.11
1447,1448,0.222,0.24,-687.0,694.0,6.21,13.9
1448,1449,0.0194,0.0166,-733.0,771.0,130.0,102.0
1449,1450,1.15,1.24,-633.0,532.0,0.984,0.914
1450,1451,0.741,0.111,-480.0,770.0,0.99,9.95
1451,1452,0.093,0.322,-771.0,714.0,27.5,7.13
1452,1453,0.99,0.0358,-351.0,823.0,0.35100000000000003,9.69
1453,1454,0.63,0.0515,-618.0,864.0,1.78,41.2
1454,1455,0.32,0.338,-714.0,794.0,4.76,10.4
1455,1456,0.8119999999999999,0.202,-433.0,642.0,0.7120000000000001,3.33
1456,1457,0.156,0.181,-649.0,720.0,18.9,68.6
1457,1458,0.892,0.0326,-410.0,841.0,0.532,31.9
1458,1459,0.38,0.279,-806.0,758.0,17.0,6.73
1459,1460,0.459,0.00189,-547.0,768.0,1.84,1160.0
1460,1461,0.6459999999999999,0.23,-497.0,660.0,1.22,8.94
1461,1462,1.75,0.72,-435.0,519.0,0.452,0.86
1462,1463,0.897,0.0189,-412.0,810.0,0.535,266.0
1463,1464,1.69,0.8170000000000001,-490.0,563.0,0.4,0.828
1464,1465,0.052000000000000005,0.0497,-719.0,747.0,143.0,63.6
1465,1466,0.979,0.0227,-347.0,763.0,0.34700000000000003,24.4
1466,1467,0.934,0.242,-595.0,698.0,1.36,7.14
1467,1468,0.603,1.07,-677.0,628.0,2.25,1.9
1468,1469,1.01,0.825,-570.0,509.0,0.91,1.2
1469,1470,0.925,0.431,-524.0,651.0,0.85,2.09
1470,1471,0.493,0.486,-681.0,708.0,2.65,2.69
1471,1472,0.0378,0.0677,-798.0,803.0,55.2,28.9
1472,1473,0.621,0.221,-584.0,723.0,2.59,8.18
1473,1474,0.0994,0.0359,-667.0,720.0,12.9,61.2
1474,1475,1.46,0.482,-385.0,559.0,0.642,0.958
1475,1476,0.8009999999999999,0.117,-438.0,691.0,0.688,20.0
1476,1477,0.8859999999999999,0.0164,-426.0,782.0,0.581,181.0
1477,1478,0.949,0.123,-384.0,661.0,0.439,5.47
1478,1479,0.8270000000000001,0.0242,-435.0,735.0,0.6609999999999999,60.8
1479,1480,0.82,0.0287,-441.0,812.0,0.674,31.8
1480,1481,0.244,0.6409999999999999,-644.0,633.0,9.31,48.4
1481,1482,0.011,0.3720000000000001,-749.0,772.0,144.0,5.28
1482,1483,0.8170000000000001,1.36,-623.0,476.0,4.15,1.03
1483,1484,1.01,0.16699999999999998,-368.0,717.0,0.398,29.3
1484,1485,0.858,0.068,-423.0,777.0,0.589,8.46
1485,1486,0.0768,0.298,-796.0,716.0,29.9,12.4
1486,1487,0.0615,0.754,-783.0,603.0,170.0,2.83
1487,1488,1.37,1.35,-582.0,514.0,0.764,13.1
1488,1489,0.127,0.0243,-796.0,782.0,38.1,73.6
1489,1490,0.0755,0.184,-714.0,677.0,33.8,10.8
1490,1491,0.544,1.33,-663.0,476.0,4.61,1.05
1491,1492,1.5,0.467,-549.0,676.0,1.33,2.02
1492,1493,0.946,0.0471,-366.0,767.0,0.4,8.72
1493,1494,0.98,0.318,-640.0,712.0,1.4,3.72
1494,1495,0.249,0.46,-721.0,638.0,9.16,6.34
1495,1496,1.14,0.314,-552.0,671.0,6.86,3.34
1496,1497,0.207,0.0474,-687.0,766.0,12.3,37.0
1497,1498,1.05,0.29,-388.0,620.0,0.518,13.1
1498,1499,0.8029999999999999,0.542,-495.0,556.0,0.907,2.24
1499,1500,0.6609999999999999,0.0151,-448.0,772.0,0.867,67.2
1500,1501,0.0345,0.0917,-875.0,852.0,255.0,24.9
