,formula,phase,processing,gfa
1523,Al85Ce10Mn5,AM,meltspin,1
1524,Al85Ce10Nb5,AM,meltspin,1
1525,Al85Ce10Ni5,AM,meltspin,1
1526,Al85Ce10V5,CR,meltspin,0
1527,Al85Ce13V2,CR,meltspin,0
1528,Al85Ce5Co10,AM,meltspin,1
1529,Al85Ce5Cu10,AM,meltspin,1
1530,Al85Ce5Fe10,AM,meltspin,1
1531,Al85Ce5Mn10,CR,meltspin,0
1532,Al85Ce5Nb10,CR,meltspin,0
1533,Al85Ce5Ni10,AM,meltspin,1
1534,Al85Ce6Ni9,AM,meltspin,1
1535,Al85Co10Ni5,AC,meltspin,0
1536,Al85Co1Ni14,AC,meltspin,0
1537,Al85Co5Ni10,AC,meltspin,0
1538,Al85Cr10Si5,CR,meltspin,0
1539,Al85Cr15Si0,CR,meltspin,0
1540,Al85Cr5Si10,CR,meltspin,0
1541,Al85Cu10La5,AC,meltspin,0
1542,Al85Cu5La10,AM,meltspin,1
1543,Al85Cu5V10,AM,meltspin,1
1544,Al85Cu6Y9,AM,meltspin,1
1545,Al85Fe1Ni14,AC,meltspin,0
1546,Al85Fe2Ni13,AC,meltspin,0
1547,Al85Fe3Ni12,AC,meltspin,0
1548,Al85Fe5Ni10,AC,sputtering,0
1549,Al85Fe8Si7,AC,meltspin,0
1550,Al85Gd10Ni5,AM,meltspin,1
1551,Al85Gd15Ni0,CR,meltspin,0
1552,Al85Gd5Ni10,AM,meltspin,1
1553,Al85Gd8Ni7,AM,meltspin,1
1554,Al85Gd9Ni6,AM,meltspin,1
1555,Al85La10Ni5,AM,meltspin,1
1556,Al85La13Ni2,AM,meltspin,1
1557,Al85La5Ni10,AM,meltspin,1
1558,Al85La6Ni9,AM,meltspin,1
1559,Al85La7.5Mo7.5,AM,meltspin,1
1560,Al85La7.5Nb7.5,AM,meltspin,1
1561,Al85La7.5Zr7.5,AM,meltspin,1
1562,Al85Mg15Ti0,CR,sputtering,0
1563,Al85Mn2Ni13,AC,meltspin,0
1564,Al85Mn7Ni8,AC,meltspin,0
1565,Al85Mo3Ni12,AM,meltspin,1
1566,Al85Mo5Ni10,AM,meltspin,1
1567,Al85Nd10Ni5,AM,meltspin,1
1568,Al85Nd2Ni13,AM,meltspin,1
1569,Al85Nd5Ni10,AM,meltspin,1
1570,Al85Nd7Ni8,AM,meltspin,1
1571,Al85Nd9Ni6,AM,meltspin,1
1572,Al85Ni0Y15,AM,meltspin,1
1573,Al85Ni10Sm5,AM,meltspin,1
1574,Al85Ni10Y5,AM,meltspin,1
1575,Al85Ni10Zr5,AM,meltspin,1
1576,Al85Ni5Sm10,AM,meltspin,1
1577,Al85Ni5Y10,AM,meltspin,1
1578,Al85Ni6Sm9,AM,meltspin,1
1579,Al85Ni8Sm7,AM,meltspin,1
1580,Al86.5Mn1Ni12.5,AM,meltspin,1
1581,Al86.5Mn2Ni11.5,AM,meltspin,1
1582,Al86.7Fe1Ni12.3,AM,meltspin,1
1583,Al86Ce10Mn4,AM,meltspin,1
1584,Al86Ce4Ni10,AM,meltspin,1
1585,Al86Ce6Ni8,AM,meltspin,1
1586,Al86Co0Ni14,AC,meltspin,0
1587,Al86Co10Fe4,CR,meltspin,0
1588,Al86Co10Mn4,CR,meltspin,0
1589,Al86Co12Fe2,CR,meltspin,1
1590,Al86Co12Mn2,CR,meltspin,0
1591,Al86Co14Fe0,AC,meltspin,0
1592,Al86Co14Mn0,CR,meltspin,0
1593,Al86Co14Ni0,AC,meltspin,0
1594,Al86Co1Ni13,AC,meltspin,0
1595,Al86Co2Ni12,AC,meltspin,0
1596,Al86Co3Ni11,AC,meltspin,0
1597,Al86Co4Fe10,CR,meltspin,0
1598,Al86Co5Ni9,AC,meltspin,0
1599,Al86Co6Fe8,CR,meltspin,0
1600,Al86Co8Fe6,CR,meltspin,0
1601,Al86Co8Mn6,CR,meltspin,0
1602,Al86Cr14Si0,CR,meltspin,0
1603,Al86Fe0Ni14,AC,meltspin,0
1604,Al86Fe10Ni4,CR,meltspin,0
1605,Al86Fe12Ni2,CR,meltspin,0
1606,Al86Fe12Si2,AC,meltspin,0
1607,Al86Fe1Ni13,AC,meltspin,0
1608,Al86Fe2Ni12,AM,meltspin,1
1609,Al86Fe3Ni11,AM,meltspin,1
1610,Al86Fe4Ni10,AC,meltspin,0
1611,Al86Fe5Ni9,AC,meltspin,0
1612,Al86Fe6Ni8,CR,meltspin,0
1613,Al86Fe7Ni7,AC,meltspin,0
1614,Al86Fe8Ni6,CR,meltspin,0
1615,Al86La14Ni0,AM,meltspin,1
1616,Al86La2Ni12,AM,meltspin,1
1617,Al86Mn0Ni14,AC,meltspin,0
1618,Al86Mn4Ni10,AC,meltspin,0
1619,Al86Mn6Ni8,AC,meltspin,0
1620,Al86Mn8Ni6,CR,meltspin,0
1621,Al86Nd10Ni4,AM,meltspin,1
1622,Al86Nd14Ni0,AM,meltspin,1
1623,Al86Nd1Ni13,AM,meltspin,1
1624,Al86Nd2Ni12,AM,meltspin,1
1625,Al86Nd4Ni10,AM,meltspin,1
1626,Al86Nd6Ni8,AM,meltspin,1
1627,Al86Nd8Ni6,AM,meltspin,1
1628,Al86Ni0Sm14,AM,meltspin,1
1629,Al86Ni0Y14,CR,meltspin,1
1630,Al86Ni10Zr4,AM,meltspin,1
1631,Al86Ni12Zr2,AM,meltspin,1
1632,Al86Ni9Zr5,AM,meltspin,1
1633,Al87.2Fe6.4Gd6.4,AM,sputtering,1
1634,Al87.5Ca10Fe2.5,AC,meltspin,0
1635,Al87.5Ca10Ni2.5,AC,meltspin,0
1636,Al87.5Ca2.5Ni10,CR,meltspin,0
1637,Al87.5Ca7.5Fe5,AM,meltspin,1
1638,Al87.5Ca7.5Ni5,AM,meltspin,1
1639,Al87.5Fe0.5Ni12,AM,meltspin,1
1640,Al87.5Fe2Ni10.5,AM,meltspin,1
1641,Al87.5Fe3.5Ni9,AM,meltspin,1
1642,Al87.5Mn0.5Ni12,AM,meltspin,1
1643,Al87.5Ni7.5Zr5,AC,meltspin,0
1644,Al87Ce10Cr3,AM,meltspin,1
1645,Al87Ce13Co0,CR,meltspin,0
1646,Al87Ce13Cr0,CR,meltspin,0
1647,Al87Ce13Cu0,CR,meltspin,0
1648,Al87Ce13Fe0,CR,meltspin,0
1649,Al87Ce13Mn0,CR,meltspin,0
1650,Al87Ce13Nb0,CR,meltspin,0
1651,Al87Ce13Ni0,CR,meltspin,1
1652,Al87Ce13V0,CR,meltspin,0
1653,Al87Ce5Ni8,AM,meltspin,1
1654,Al87Ce6Ni7,AM,meltspin,1
1655,Al87Ce8Co5,AM,meltspin,1
1656,Al87Ce8Cr5,CR,meltspin,0
1657,Al87Ce8Cu5,AM,meltspin,1
1658,Al87Ce8Fe5,AM,meltspin,1
1659,Al87Ce8Mn5,AC,meltspin,0
1660,Al87Ce8Nb5,AM,meltspin,1
1661,Al87Co11Fe2,AM,meltspin,1
1662,Al87Co1Ni12,AM,meltspin,1
1663,Al87Co2Ni11,AM,meltspin,1
1664,Al87Co3Ni10,AC,meltspin,0
1665,Al87Co4Ni9,AC,meltspin,0
1666,Al87Co5Ni8,AC,meltspin,0
1667,Al87Co9Fe4,AC,meltspin,0
1668,Al87Cu5V8,AC,meltspin,0
1669,Al87Cu8V5,CR,meltspin,0
1670,Al87Fe1Ni12,AM,meltspin,1
1671,Al87Fe2Ni11,AM,meltspin,1
1672,Al87Fe3Ni10,AM,meltspin,1
1673,Al87Fe4Ni9,AC,meltspin,0
1674,Al87Fe5Ni8,AC,meltspin,0
1675,Al87Fe6Ni7,AC,meltspin,0
1676,Al87Gd5Ni8,AM,meltspin,1
1677,Al87Gd7Ni6,AM,meltspin,1
1678,Al87La5Ni8,AM,meltspin,1
1679,Al87Mg0Ti13,CR,sputtering,0
1680,Al87Mn1Ni12,AM,meltspin,1
1681,Al87Mn2.5Ni10.5,AM,meltspin,1
1682,Al87Mn2Ni11,AM,meltspin,1
1683,Al87Nd5Ni8,AM,meltspin,1
1684,Al87Nd7Ni6,AM,meltspin,1
1685,Al87Ni0Y13,AM,meltspin,1
1686,Al87Ni10Y3,AM,meltspin,1
1687,Al87Ni10Zr3,AM,meltspin,1
1688,Al87Ni3Y10,AM,meltspin,1
1689,Al87Ni5Y8,AM,meltspin,1
1690,Al87Ni6Sm7,AM,meltspin,1
1691,Al87Ni8Sm5,AM,meltspin,1
1692,Al88.5Fe3Ni8.5,AM,meltspin,1
1693,Al88.75Ca1.25Ni10,CR,meltspin,0
1694,Al88Ce10Co2,AM,meltspin,1
1695,Al88Ce10Cu2,AM,meltspin,1
1696,Al88Ce10Fe2,AM,meltspin,1
1697,Al88Ce10Mn2,AM,meltspin,1
1698,Al88Ce10Nb2,AM,meltspin,1
1699,Al88Ce10V2,AM,meltspin,1
1700,Al88Ce12Co0,AC,meltspin,0
1701,Al88Ce12Cr0,AM,meltspin,1
1702,Al88Ce12Cu0,AC,meltspin,0
1703,Al88Ce12Fe0,AC,meltspin,0
1704,Al88Ce12Mn0,AC,meltspin,0
1705,Al88Ce12Nb0,AC,meltspin,0
1706,Al88Ce12Ni0,CR,meltspin,1
1707,Al88Ce12V0,AC,meltspin,0
1708,Al88Ce2Co10,AM,meltspin,1
1709,Al88Ce2Cu10,CR,meltspin,0
1710,Al88Ce2Fe10,AM,meltspin,1
1711,Al88Ce2Mn10,CR,meltspin,0
1712,Al88Ce2Ni10,AM,meltspin,1
1713,Al88Ce5Cu7,AC,meltspin,0
1714,Al88Ce8V4,AC,meltspin,0
1715,Al88Co0Fe12,CR,meltspin,0
1716,Al88Co0Ni12,AC,meltspin,0
1717,Al88Co10Fe2,AC,meltspin,0
1718,Al88Co10Mn2,AC,meltspin,0
1719,Al88Co10Ni2,AC,meltspin,0
1720,Al88Co11Ni1,AC,meltspin,0
1721,Al88Co12Fe0,AC,meltspin,0
1722,Al88Co12Mn0,AC,meltspin,0
1723,Al88Co12Ni0,AC,meltspin,0
1724,Al88Co1Ni11,AC,meltspin,0
1725,Al88Co2Fe10,CR,meltspin,0
1726,Al88Co2Ni10,AC,meltspin,0
1727,Al88Co3Ni9,AC,meltspin,0
1728,Al88Co4Fe8,CR,meltspin,0
1729,Al88Co4Ni8,AM,meltspin,1
1730,Al88Co5Ni7,AM,meltspin,1
1731,Al88Co6Fe6,CR,meltspin,0
1732,Al88Co6Mn6,CR,meltspin,0
1733,Al88Co6Ni6,AC,meltspin,0
1734,Al88Co7Ni5,AC,meltspin,0
1735,Al88Co8Fe4,AC,meltspin,0
1736,Al88Co8Mn4,AC,meltspin,0
1737,Al88Co8Ni4,AC,meltspin,0
1738,Al88Co9Ni3,AC,meltspin,0
1739,Al88Cr10Si2,CR,meltspin,0
1740,Al88Cr12Si0,CR,meltspin,0
1741,Al88Fe0Ni12,AC,meltspin,0
1742,Al88Fe10Ni2,CR,meltspin,0
1743,Al88Fe10Si2,AC,meltspin,0
1744,Al88Fe12Ni0,CR,meltspin,0
1745,Al88Fe1Ni11,AM,meltspin,1
1746,Al88Fe2Ni10,AC,meltspin,0
1747,Al88Fe3Ni9,AM,meltspin,1
1748,Al88Fe4Ni8,AC,meltspin,0
1749,Al88Fe5Ni7,AC,meltspin,0
1750,Al88Fe6Ni6,AC,meltspin,0
1751,Al88Fe8Ni4,AC,meltspin,0
1752,Al88Gd12Ni0,AM,meltspin,1
1753,Al88La10Ni2,AM,meltspin,1
1754,Al88La2Ni10,AM,meltspin,1
1755,Al88La6Ni6,AM,meltspin,1
1756,Al88La7Ni5,AM,meltspin,1
1757,Al88Mn0Ni12,AC,meltspin,0
1758,Al88Mn1Ni11,AM,meltspin,1
1759,Al88Mn2Ni10,AM,meltspin,1
1760,Al88Mn4Ni8,AC,meltspin,0
1761,Al88Mn6Ni6,AC,meltspin,0
1762,Al88Mn8Ni4,CR,meltspin,0
1763,Al88Nd10Ni2,AM,meltspin,1
1764,Al88Nd12Ni0,AM,meltspin,1
1765,Al88Nd1Ni11,AM,meltspin,1
1766,Al88Nd2Ni10,AM,meltspin,1
1767,Al88Nd4Ni8,AM,meltspin,1
1768,Al88Nd6Ni6,AM,meltspin,1
1769,Al88Nd8Ni4,AM,meltspin,1
1770,Al88Ni0Sm12,AM,meltspin,1
1771,Al88Ni0Y12,AM,meltspin,1
1772,Al88Ni10Y2,AM,meltspin,1
1773,Al88Ni10Zr2,AM,meltspin,1
1774,Al88Ni7Zr5,AM,meltspin,1
1775,Al88Ni9Y3,AM,meltspin,1
1776,Al89Ca11Co0,AM,meltspin,1
1777,Al89Ca11Cu0,AM,meltspin,1
1778,Al89Ca11Fe0,AM,meltspin,1
1779,Al89Ca11Mg0,AM,meltspin,1
1780,Al89Ca11Ni0,AM,meltspin,1
1781,Al89Ca11Zn0,AM,meltspin,1
1782,Al89Ce10Ni1,AM,meltspin,1
1783,Al89Ce11Co0,AC,meltspin,0
1784,Al89Ce11Cr0,AC,meltspin,0
1785,Al89Ce11Cu0,AC,meltspin,0
1786,Al89Ce11Fe0,AC,meltspin,0
1787,Al89Ce11Mn0,AC,meltspin,0
1788,Al89Ce11Nb0,AC,meltspin,0
1789,Al89Ce11Ni0,AM,meltspin,1
1790,Al89Ce11V0,AC,meltspin,0
1791,Al89Ce1Fe10,CR,meltspin,0
1792,Al89Ce6Mn5,AC,meltspin,0
1793,Al89Ce6V5,AC,meltspin,0
1794,Al89Ce8Cr3,AC,meltspin,0
1795,Al89Co1Ni10,AC,meltspin,0
1796,Al89Co2Ni9,AC,meltspin,0
1797,Al89Co3Ni8,AC,meltspin,0
1798,Al89Co4Ni7,AC,meltspin,0
1799,Al89Co5Ni6,AC,meltspin,0
1800,Al89Co6Ni5,AC,meltspin,0
1801,Al89Fe1Ni10,AC,meltspin,0
1802,Al89Fe2Ni9,AC,meltspin,0
1803,Al89Fe3Ni8,AC,meltspin,0
1804,Al89Fe4Ni7,AC,meltspin,0
1805,Al89Fe5.5Gd5.5,AM,sputtering,1
1806,Al89Fe5Ni6,AC,meltspin,0
1807,Al89Fe6Ni5,AC,meltspin,0
1808,Al89Fe7Ni4,AC,meltspin,0
1809,Al89Fe9Ni2,AC,meltspin,0
1810,Al89La7Ni4,AM,meltspin,1
1811,Al89Mn2Ni9,AC,meltspin,0
1812,Al89Ni0Y11,AM,meltspin,1
1813,Al89Ni1Sm10,AM,meltspin,1
1814,Al89Ni9Zr2,AM,meltspin,1
1815,Al8B10Co82,CR,meltspin,0
1816,Al8B10Fe82,CR,meltspin,0
1817,Al8B14Co78,AC,meltspin,0
1818,Al8B14Fe78,AM,meltspin,1
1819,Al8B18Co74,AM,meltspin,1
1820,Al8B18Fe74,AM,meltspin,1
1821,Al8B18Ni74,AM,meltspin,1
1822,Al8B22Co70,AM,meltspin,1
1823,Al8B22Fe70,AM,meltspin,1
1824,Al8B22Ni70,AM,meltspin,1
1825,Al8B26Co66,AM,meltspin,1
1826,Al8B26Ni66,AM,meltspin,1
1827,Al8B30Co62,AM,meltspin,1
1828,Al8B30Ni62,AM,meltspin,1
1829,Al8B34Co58,AM,meltspin,1
1830,Al8B34Ni58,AM,meltspin,1
1831,Al8B38Ni54,AM,meltspin,1
1832,Al8B42Ni50,AM,meltspin,1
1833,Al8Ce10Cu82,AM,meltspin,1
1834,Al8Ce6Cu86,AC,meltspin,0
1835,Al8Ce8Cu84,AM,meltspin,1
1836,Al8Cu82Nd10,CR,meltspin,0
1837,Al8Cu84Nd8,AM,meltspin,1
1838,Al8Cu86Nd6,AC,meltspin,0
1839,Al8Cu88Nd4,CR,meltspin,0
1840,Al8Ga16Mg76,AM,meltspin,1
1841,Al8Ga2Mg90,CR,meltspin,0
1842,Al8Ga3Mg89,CR,meltspin,0
1843,Al8La86Ni6,AM,meltspin,1
1844,Al8Ni8Zr84,AM,meltspin,1
1845,Al8Si7Zr85,AM,meltspin,1
1846,Al90Ca0Ni10,CR,meltspin,0
1847,Al90Ca10Co0,AM,meltspin,1
1848,Al90Ca10Cu0,AM,meltspin,1
1849,Al90Ca10Fe0,AM,meltspin,1
1850,Al90Ca10Mg0,AM,meltspin,1
1851,Al90Ca10Ni0,AM,meltspin,1
1852,Al90Ca10Zn0,AM,meltspin,1
1853,Al90Ca5Fe5,CR,meltspin,0
1854,Al90Ca5Ni5,CR,meltspin,0
1855,Al90Ca7.5Fe2.5,AM,meltspin,1
1856,Al90Ca7.5Ni2.5,AM,meltspin,1
1857,Al90Ce0Co10,CR,meltspin,0
1858,Al90Ce0Ni10,CR,meltspin,0
1859,Al90Ce10Co0,AM,meltspin,1
1860,Al90Ce10Cr0,AM,meltspin,1
1861,Al90Ce10Cu0,AM,meltspin,1
1862,Al90Ce10Fe0,AM,meltspin,1
1863,Al90Ce10Mn0,AM,meltspin,1
1864,Al90Ce10Nb0,AM,meltspin,1
1865,Al90Ce10Ni0,AM,meltspin,1
1866,Al90Ce10V0,AM,meltspin,1
1867,Al90Ce3Co7,AM,meltspin,1
1868,Al90Ce3Fe7,AM,meltspin,1
1869,Al90Ce5Co5,AM,meltspin,1
1870,Al90Ce5Cu5,AC,meltspin,0
1871,Al90Ce5Fe5,AM,meltspin,1
1872,Al90Ce5Nb5,CR,meltspin,0
1873,Al90Ce5Ni5,AC,meltspin,0
1874,Al90Ce8Nb2,AM,meltspin,1
1875,Al90Co0Fe10,AC,meltspin,0
1876,Al90Co0Ni10,AC,meltspin,0
1877,Al90Co10Fe0,AC,meltspin,0
1878,Al90Co10Mn0,AC,meltspin,0
1879,Al90Co10Ni0,AC,meltspin,0
1880,Al90Co2Fe8,AC,meltspin,0
1881,Al90Co2Mn8,CR,meltspin,0
1882,Al90Co2Ni8,AC,meltspin,0
1883,Al90Co4Fe6,AC,meltspin,0
1884,Al90Co4Mn6,CR,meltspin,0
1885,Al90Co4Ni6,AC,meltspin,0
1886,Al90Co5Ni5,AC,meltspin,0
1887,Al90Co6Fe4,AC,meltspin,0
1888,Al90Co6Mn4,AC,meltspin,0
1889,Al90Co6Ni4,AC,meltspin,0
1890,Al90Co8Fe2,AC,meltspin,0
1891,Al90Co8Mn2,AC,meltspin,0
1892,Al90Co8Ni2,AC,meltspin,0
1893,Al90Cr10Si0,CR,meltspin,0
1894,Al90Cr5Si5,CR,meltspin,0
1895,Al90Cu0La10,AM,meltspin,1
1896,Al90Cu5Fe5,AM,sputtering,1
1897,Al90Cu5La5,AM,meltspin,1
1898,Al90Fe0Ni10,AC,meltspin,0
1899,Al90Fe10Ni0,AC,meltspin,0
1900,Al90Fe1Ni9,AC,meltspin,0
1901,Al90Fe2Ni8,AC,meltspin,0
1902,Al90Fe4Ni6,AC,meltspin,0
1903,Al90Fe5Ni5,AC,meltspin,0
1904,Al90Fe6Ni4,AC,meltspin,0
1905,Al90Fe8Ni2,AC,meltspin,0
1906,Al90Fe8Si2,CR,meltspin,0
1907,Al90Gd10Ni0,AM,meltspin,1
1908,Al90Gd5Ni5,AM,meltspin,1
1909,Al90La10Ni0,AM,meltspin,1
1910,Al90La5Ni5,AC,meltspin,0
1911,Al90La8Ni2,AM,meltspin,1
1912,Al90Mn0Ni10,AC,meltspin,0
1913,Al90Mn2Ni8,AC,meltspin,0
1914,Al90Mn4Ni6,AC,meltspin,0
1915,Al90Mn6Ni4,AC,meltspin,0
1916,Al90Mn8Ni2,CR,meltspin,0
1917,Al90Nd10Ni0,AM,meltspin,1
1918,Al90Nd1Ni9,AC,meltspin,0
1919,Al90Nd2Ni8,AM,meltspin,1
1920,Al90Nd3Ni7,AM,meltspin,1
1921,Al90Nd4Ni6,AM,meltspin,1
1922,Al90Nd5Ni5,AM,meltspin,1
1923,Al90Nd6Ni4,AM,meltspin,1
1924,Al90Nd8Ni2,AM,meltspin,1
1925,Al90Ni0Sm10,AM,meltspin,1
1926,Al90Ni0Ti10,AC,sputtering,0
1927,Al90Ni0Y10,AM,meltspin,1
1928,Al90Ni10Y0,CR,meltspin,0
1929,Al90Ni10Zr0,CR,meltspin,0
1930,Al90Ni5Sm5,AM,meltspin,1
1931,Al90Ni5Y5,AM,meltspin,1
1932,Al90Ni5Zr5,CR,meltspin,0
1933,Al91Ca9Co0,AM,meltspin,1
1934,Al91Ca9Cu0,AM,meltspin,1
1935,Al91Ca9Fe0,AM,meltspin,1
1936,Al91Ca9Mg0,AM,meltspin,1
1937,Al91Ca9Ni0,AM,meltspin,1
1938,Al91Ca9Zn0,AM,meltspin,1
1939,Al91Ce5Ni4,AM,meltspin,1
1940,Al91Ce9Co0,AM,meltspin,1
1941,Al91Ce9Cr0,AM,meltspin,1
1942,Al91Ce9Cu0,AM,meltspin,1
1943,Al91Ce9Fe0,AM,meltspin,1
1944,Al91Ce9Mn0,AM,meltspin,1
1945,Al91Ce9Nb0,AM,meltspin,1
1946,Al91Ce9Ni0,AM,meltspin,1
1947,Al91Ce9V0,AM,meltspin,1
1948,Al91Co1Ni8,AC,meltspin,0
1949,Al91Co2Ni7,AC,meltspin,0
1950,Al91Fe1Ni8,AC,meltspin,0
1951,Al91Fe2Ni7,AC,meltspin,0
1952,Al91Fe3Ni6,AC,meltspin,0
1953,Al91Fe6Ni3,AC,meltspin,0
1954,Al91La5Ni4,AM,meltspin,1
1955,Al91La7Ni2,AM,meltspin,1
1956,Al91Ni0Y9,AM,meltspin,1
1957,Al92.5Ca2.5Fe5,CR,meltspin,0
1958,Al92.5Ca2.5Ni5,CR,meltspin,0
1959,Al92.5Ca7.5Fe0,CR,meltspin,0
1960,Al92.5Ca7.5Ni0,CR,meltspin,0
1961,Al92Ce6Nb2,AM,meltspin,1
1962,Al92Ce8Co0,AM,meltspin,1
1963,Al92Ce8Cr0,AM,meltspin,1
1964,Al92Ce8Cu0,AM,meltspin,1
1965,Al92Ce8Fe0,AM,meltspin,1
1966,Al92Ce8Mn0,AM,meltspin,1
1967,Al92Ce8Nb0,AM,meltspin,1
1968,Al92Ce8Ni0,AM,meltspin,1
1969,Al92Ce8V0,AM,meltspin,1
1970,Al92Co0Fe8,AC,meltspin,0
1971,Al92Co0Mn8,CR,meltspin,0
1972,Al92Co0Ni8,AC,meltspin,0
1973,Al92Co2Fe6,AC,meltspin,0
1974,Al92Co2Mn6,CR,meltspin,0
1975,Al92Co2Ni6,AC,meltspin,0
1976,Al92Co4Fe4,AC,meltspin,0
1977,Al92Co4Mn4,AC,meltspin,0
1978,Al92Co4Ni4,AC,meltspin,0
1979,Al92Co6Fe2,AC,meltspin,0
1980,Al92Co6Mn2,AC,meltspin,0
1981,Al92Co6Ni2,AC,meltspin,0
1982,Al92Co8Fe0,AC,meltspin,0
1983,Al92Co8Mn0,AC,meltspin,0
1984,Al92Co8Ni0,AC,meltspin,0
1985,Al92Cr8Si0,CR,meltspin,0
1986,Al92Fe0Ni8,AC,meltspin,0
1987,Al92Fe2Ni6,AC,meltspin,0
1988,Al92Fe4Ni4,AC,meltspin,0
1989,Al92Fe5Ni3,AC,meltspin,0
1990,Al92Fe6Ni2,AC,meltspin,0
1991,Al92Fe8Ni0,AC,meltspin,0
1992,Al92Gd8Ni0,AM,meltspin,1
1993,Al92La8Ni0,AM,meltspin,1
1994,Al92Mn0Ni8,AC,meltspin,0
1995,Al92Mn2Ni6,AC,meltspin,0
1996,Al92Mn4Ni4,AC,meltspin,0
1997,Al92Mn6Ni2,AC,meltspin,0
1998,Al92Mn8Ni0,CR,meltspin,0
1999,Al92Nd2Ni6,AC,meltspin,0
2000,Al92Nd4Ni4,AC,meltspin,0
2001,Al92Nd6Ni2,AC,meltspin,0
2002,Al92Nd8Ni0,AM,meltspin,1
2003,Al92Ni0Sm8,AM,meltspin,1
2004,Al92Ni0Ti8,CR,sputtering,0
2005,Al92Ni0Y8,CR,meltspin,1
2006,Al93Ce2Cr5,CR,meltspin,0
2007,Al93Ce2Mn5,CR,meltspin,0
2008,Al93Ce7Co0,AM,meltspin,1
2009,Al93Ce7Cr0,AM,meltspin,1
2010,Al93Ce7Cu0,AM,meltspin,1
2011,Al93Ce7Fe0,AM,meltspin,1
2012,Al93Ce7Mn0,AM,meltspin,1
2013,Al93Ce7Nb0,AM,meltspin,1
2014,Al93Ce7Ni0,AM,meltspin,1
2015,Al93Ce7V0,AM,meltspin,1
2016,Al94.1Ni0Ti5.9,CR,meltspin,0
2017,Al94Ce2Cr4,CR,meltspin,0
2018,Al94Ce2Fe4,CR,meltspin,0
2019,Al94Ce2Mn4,CR,meltspin,0
2020,Al94Ce2V4,CR,meltspin,0
2021,Al94Ce4Co2,CR,meltspin,0
2022,Al94Ce4Fe2,CR,meltspin,0
2023,Al94Ce6Co0,CR,meltspin,0
2024,Al94Ce6Cr0,CR,meltspin,0
2025,Al94Ce6Cu0,CR,meltspin,0
2026,Al94Ce6Fe0,CR,meltspin,0
2027,Al94Ce6Mn0,CR,meltspin,0
2028,Al94Ce6Nb0,CR,meltspin,0
2029,Al94Ce6Ni0,CR,meltspin,0
2030,Al94Ce6V0,CR,meltspin,0
2031,Al94Co0Fe6,AC,meltspin,0
2032,Al94Co0Mn6,CR,meltspin,0
2033,Al94Co0Ni6,CR,meltspin,0
2034,Al94Co2Fe4,AC,meltspin,0
2035,Al94Co2Mn4,CR,meltspin,0
2036,Al94Co2Ni4,CR,meltspin,0
2037,Al94Co4Fe2,AC,meltspin,0
2038,Al94Co4Mn2,AC,meltspin,0
2039,Al94Co4Ni2,CR,meltspin,0
2040,Al94Co6Fe0,AC,meltspin,0
2041,Al94Co6Mn0,AC,meltspin,0
2042,Al94Co6Ni0,AC,meltspin,0
2043,Al94Cr6Si0,CR,meltspin,0
2044,Al94Fe0Ni6,CR,meltspin,0
2045,Al94Fe2Ni4,CR,meltspin,0
2046,Al94Fe4Ni2,CR,meltspin,0
2047,Al94Fe6Ni0,AC,meltspin,0
2048,Al94Gd6Ni0,CR,meltspin,0
2049,Al94Mn0Ni6,CR,meltspin,0
2050,Al94Mn2Ni4,AC,meltspin,0
2051,Al94Mn4Ni2,AC,meltspin,0
2052,Al94Mn6Ni0,CR,meltspin,0
2053,Al94Nd2Ni4,CR,meltspin,0
2054,Al94Nd4Ni2,AC,meltspin,0
2055,Al94Nd6Ni0,CR,meltspin,0
2056,Al94Ni0Sm6,CR,meltspin,0
2057,Al95.8Ni0.7Ti3.5,CR,meltspin,0
2058,Al95Ce2Co3,CR,meltspin,0
2059,Al95Ce5Ni0,CR,meltspin,0
2060,Al96Co0Fe4,CR,meltspin,0
2061,Al96Co0Mn4,CR,meltspin,0
2062,Al96Co0Ni4,CR,meltspin,0
2063,Al96Co2Fe2,CR,meltspin,0
2064,Al96Co2Mn2,CR,meltspin,0
2065,Al96Co2Ni2,CR,meltspin,0
2066,Al96Co4Fe0,CR,meltspin,0
2067,Al96Co4Mn0,CR,meltspin,0
2068,Al96Co4Ni0,CR,meltspin,0
2069,Al96Cr4Si0,CR,meltspin,0
2070,Al96Fe0Ni4,CR,meltspin,0
2071,Al96Fe2Ni2,CR,meltspin,0
2072,Al96Fe4Ni0,CR,meltspin,0
2073,Al96Mn0Ni4,CR,meltspin,0
2074,Al96Mn2Ni2,CR,meltspin,0
2075,Al96Mn4Ni0,CR,meltspin,0
2076,Al96Nd2Ni2,CR,meltspin,0
2077,Al96Nd4Ni0,AC,meltspin,0
2078,Al97.1Ni0Ti2.9,CR,meltspin,0
2079,Al98.9Ni0Ti1.1,CR,meltspin,0
2080,Al98Co0Fe2,CR,meltspin,0
2081,Al98Co0Mn2,CR,meltspin,0
2082,Al98Co0Ni2,CR,meltspin,0
2083,Al98Co2Fe0,CR,meltspin,0
2084,Al98Co2Mn0,CR,meltspin,0
2085,Al98Co2Ni0,CR,meltspin,0
2086,Al98Fe0Ni2,CR,meltspin,0
2087,Al98Fe2Ni0,CR,meltspin,0
2088,Al98Mn0Ni2,CR,meltspin,0
