,formula,a_1,b_1,a_2,b_2,gap gllbsc
413,GaNbBaSnO6,Ga,Nb,Ba,Sn,3.13985473
414,GaNbBaTiO6,Ga,Nb,Ba,Ti,1.844905752
415,GaNbCaGeO6,Ga,Nb,Ca,Ge,2.128865476
416,GaNbCaSiO6,Ga,Nb,Ca,Si,1.379197283
417,GaNbCaSnO6,Ga,Nb,Ca,Sn,1.843996924
418,GaNbCaTiO6,Ga,Nb,Ca,Ti,1.464554512
419,GaNbLaAlO6,Ga,Nb,La,Al,2.126529305
420,GaNbLaGaO6,Ga,Nb,La,Ga,2.674483127
421,GaNbLaInO6,Ga,Nb,La,In,2.493512245
422,GaNbLiNbO6,Ga,Nb,Li,Nb,1.401236812
423,GaNbMgTiO6,Ga,Nb,Mg,Ti,1.202758352
424,GaNbMgZrO6,Ga,Nb,Mg,Zr,2.970601472
425,GaNbNaNbO6,Ga,Nb,Na,Nb,1.403098217
426,GaNbNaSbO6,Ga,Nb,Na,Sb,2.154979683
427,GaNbPbTiO6,Ga,Nb,Pb,Ti,1.511721496
428,GaNbSnTiO6,Ga,Nb,Sn,Ti,1.460795557
429,GaNbSrGeO6,Ga,Nb,Sr,Ge,2.167031343
430,GaNbSrSiO6,Ga,Nb,Sr,Si,1.440511905
431,GaNbSrSnO6,Ga,Nb,Sr,Sn,3.271136372
432,GaNbSrTiO6,Ga,Nb,Sr,Ti,1.487434643
433,GaNbYAlO6,Ga,Nb,Y,Al,1.671893478
434,GaTaAgNbO6,Ga,Ta,Ag,Nb,1.784907466
435,GaTaBaSnO6,Ga,Ta,Ba,Sn,3.486954934
436,GaTaBaTiO6,Ga,Ta,Ba,Ti,1.851214389
437,GaTaCaGeO6,Ga,Ta,Ca,Ge,2.921206721
438,GaTaCaSiO6,Ga,Ta,Ca,Si,2.257882411
439,GaTaCaSnO6,Ga,Ta,Ca,Sn,2.563279251
440,GaTaCaTiO6,Ga,Ta,Ca,Ti,1.842666325
441,GaTaGaNbO6,Ga,Ta,Ga,Nb,1.453259658
442,GaTaKNbO6,Ga,Ta,K,Nb,1.723389689
443,GaTaKSbO6,Ga,Ta,K,Sb,2.325015967
444,GaTaLaAlO6,Ga,Ta,La,Al,2.910652372
445,GaTaLaGaO6,Ga,Ta,La,Ga,3.453258672
446,GaTaLaInO6,Ga,Ta,La,In,3.425265999
447,GaTaLaScO6,Ga,Ta,La,Sc,3.262926712
448,GaTaLiNbO6,Ga,Ta,Li,Nb,1.730675149
449,GaTaMgTiO6,Ga,Ta,Mg,Ti,2.177120432
450,GaTaMgZrO6,Ga,Ta,Mg,Zr,3.255670251
451,GaTaNaNbO6,Ga,Ta,Na,Nb,1.73072672
452,GaTaNaSbO6,Ga,Ta,Na,Sb,2.542490811
453,GaTaPbTiO6,Ga,Ta,Pb,Ti,1.883185973
454,GaTaPbZrO6,Ga,Ta,Pb,Zr,3.467447345
455,GaTaRbNbO6,Ga,Ta,Rb,Nb,1.714869864
456,GaTaSnTiO6,Ga,Ta,Sn,Ti,1.835986128
457,GaTaSrGeO6,Ga,Ta,Sr,Ge,2.733559859
458,GaTaSrSiO6,Ga,Ta,Sr,Si,2.327024022
459,GaTaSrSnO6,Ga,Ta,Sr,Sn,3.714192995
460,GaTaSrTiO6,Ga,Ta,Sr,Ti,1.855608911
461,GaTaTlNbO6,Ga,Ta,Tl,Nb,1.474651584
462,GaTaTlTaO6,Ga,Ta,Tl,Ta,1.966914479
463,GaTaYAlO6,Ga,Ta,Y,Al,2.555522585
464,GeTiAgNbO6,Ge,Ti,Ag,Nb,2.840460427
465,GeTiAgTaO6,Ge,Ti,Ag,Ta,3.419571663
466,GeTiBaHfO6,Ge,Ti,Ba,Hf,4.160952852
467,GeTiBaSnO6,Ge,Ti,Ba,Sn,3.552575952
468,GeTiBaTiO6,Ge,Ti,Ba,Ti,3.190106777
469,GeTiBaZrO6,Ge,Ti,Ba,Zr,4.148723815
470,GeTiCaGeO6,Ge,Ti,Ca,Ge,3.248836082
471,GeTiCaHfO6,Ge,Ti,Ca,Hf,3.885293853
472,GeTiCaSiO6,Ge,Ti,Ca,Si,3.563046045
473,GeTiCaSnO6,Ge,Ti,Ca,Sn,3.331224808
474,GeTiCaTiO6,Ge,Ti,Ca,Ti,3.007996942
475,GeTiCaZrO6,Ge,Ti,Ca,Zr,3.893225008
476,GeTiCsNbO6,Ge,Ti,Cs,Nb,3.02429532
477,GeTiCsTaO6,Ge,Ti,Cs,Ta,3.254019469
478,GeTiCsVO6,Ge,Ti,Cs,V,1.834517323
479,GeTiGaNbO6,Ge,Ti,Ga,Nb,1.797455269
480,GeTiGaTaO6,Ge,Ti,Ga,Ta,2.269047123
481,GeTiInNbO6,Ge,Ti,In,Nb,0.989026589
482,GeTiInTaO6,Ge,Ti,In,Ta,1.143574754
483,GeTiKNbO6,Ge,Ti,K,Nb,2.948122057
484,GeTiKSbO6,Ge,Ti,K,Sb,3.049450929
485,GeTiKTaO6,Ge,Ti,K,Ta,3.408221117
486,GeTiLaAlO6,Ge,Ti,La,Al,4.01895421
487,GeTiLaGaO6,Ge,Ti,La,Ga,3.822508306
488,GeTiLaInO6,Ge,Ti,La,In,3.725860364
489,GeTiLaScO6,Ge,Ti,La,Sc,4.188933802
490,GeTiLiNbO6,Ge,Ti,Li,Nb,2.90126163
491,GeTiLiTaO6,Ge,Ti,Li,Ta,3.43696678
492,GeTiLiVO6,Ge,Ti,Li,V,1.430327721
493,GeTiMgTiO6,Ge,Ti,Mg,Ti,3.188325122
494,GeTiMgZrO6,Ge,Ti,Mg,Zr,3.893705018
495,GeTiNaNbO6,Ge,Ti,Na,Nb,2.767900919
496,GeTiNaSbO6,Ge,Ti,Na,Sb,3.04215647
497,GeTiNaTaO6,Ge,Ti,Na,Ta,3.398923557
498,GeTiNaVO6,Ge,Ti,Na,V,1.463812125
499,GeTiPbHfO6,Ge,Ti,Pb,Hf,4.156892394
500,GeTiPbTiO6,Ge,Ti,Pb,Ti,3.584303518
501,GeTiPbZrO6,Ge,Ti,Pb,Zr,4.235235964
502,GeTiRbNbO6,Ge,Ti,Rb,Nb,2.910860625
503,GeTiRbTaO6,Ge,Ti,Rb,Ta,3.33362419
504,GeTiSnHfO6,Ge,Ti,Sn,Hf,3.861168711
505,GeTiSnTiO6,Ge,Ti,Sn,Ti,2.741981864
506,GeTiSnZrO6,Ge,Ti,Sn,Zr,3.576358601
507,GeTiSrGeO6,Ge,Ti,Sr,Ge,3.339568708
508,GeTiSrHfO6,Ge,Ti,Sr,Hf,4.184483885
509,GeTiSrSiO6,Ge,Ti,Sr,Si,3.520429543
510,GeTiSrSnO6,Ge,Ti,Sr,Sn,3.597625931
511,GeTiSrTiO6,Ge,Ti,Sr,Ti,3.093917255
512,GeTiSrZrO6,Ge,Ti,Sr,Zr,4.125636681
513,GeTiTlNbO6,Ge,Ti,Tl,Nb,2.289670031
514,GeTiTlTaO6,Ge,Ti,Tl,Ta,2.508634061
515,GeTiYAlO6,Ge,Ti,Y,Al,3.701089196
516,InNbBaSnO6,In,Nb,Ba,Sn,1.66922478
517,InNbCaGeO6,In,Nb,Ca,Ge,0.796683747
518,InNbCaSnO6,In,Nb,Ca,Sn,1.90683703
519,InNbGaNbO6,In,Nb,Ga,Nb,0.128888784
520,InNbLaAlO6,In,Nb,La,Al,0.82273265
521,InNbLaGaO6,In,Nb,La,Ga,1.15967416
522,InNbLaInO6,In,Nb,La,In,1.745350249
523,InNbLiNbO6,In,Nb,Li,Nb,0.292528091
524,InNbMgTiO6,In,Nb,Mg,Ti,1.151989547
525,InNbMgZrO6,In,Nb,Mg,Zr,1.268264192
526,InNbNaNbO6,In,Nb,Na,Nb,0.10662043
527,InNbNaSbO6,In,Nb,Na,Sb,0.574152511
528,InNbSrGeO6,In,Nb,Sr,Ge,0.781410482
529,InNbSrSnO6,In,Nb,Sr,Sn,1.823241323
530,InNbYAlO6,In,Nb,Y,Al,0.63471935
531,InTaBaSnO6,In,Ta,Ba,Sn,1.909782068
532,InTaCaGeO6,In,Ta,Ca,Ge,1.127620733
533,InTaCaSnO6,In,Ta,Ca,Sn,1.237723535
534,InTaLaAlO6,In,Ta,La,Al,1.498605746
535,InTaLaInO6,In,Ta,La,In,2.261798705
536,InTaLaScO6,In,Ta,La,Sc,2.234428288
537,InTaNaSbO6,In,Ta,Na,Sb,0.818105099
538,InTaPbHfO6,In,Ta,Pb,Hf,2.199561857
539,InTaPbZrO6,In,Ta,Pb,Zr,2.166244692
540,InTaSnHfO6,In,Ta,Sn,Hf,2.150852251
541,InTaSnZrO6,In,Ta,Sn,Zr,2.123350206
542,InTaSrSiO6,In,Ta,Sr,Si,0.823857766
543,InTaSrSnO6,In,Ta,Sr,Sn,2.094100616
544,InTaYAlO6,In,Ta,Y,Al,1.302498436
545,KNbAgNbO6,K,Nb,Ag,Nb,3.062301209
546,KNbBaSnO6,K,Nb,Ba,Sn,4.749720638
547,KNbBaTiO6,K,Nb,Ba,Ti,3.817776997
548,KNbCaGeO6,K,Nb,Ca,Ge,4.509665846
549,KNbCaSiO6,K,Nb,Ca,Si,4.091124096
550,KNbCaSnO6,K,Nb,Ca,Sn,4.597100149
551,KNbCaTiO6,K,Nb,Ca,Ti,3.518675705
552,KNbGaNbO6,K,Nb,Ga,Nb,1.461851147
553,KNbKSbO6,K,Nb,K,Sb,3.900486075
554,KNbLaAlO6,K,Nb,La,Al,4.47746793
555,KNbLaGaO6,K,Nb,La,Ga,4.812455616
556,KNbLaInO6,K,Nb,La,In,4.894367785
557,KNbLiNbO6,K,Nb,Li,Nb,3.190324442
558,KNbMgTiO6,K,Nb,Mg,Ti,4.020037277
559,KNbMgZrO6,K,Nb,Mg,Zr,4.95899481
560,KNbNaNbO6,K,Nb,Na,Nb,3.160753757
561,KNbNaSbO6,K,Nb,Na,Sb,4.204154377
562,KNbPbTiO6,K,Nb,Pb,Ti,3.505501913
563,KNbRbNbO6,K,Nb,Rb,Nb,3.346984265
564,KNbSnTiO6,K,Nb,Sn,Ti,2.80800255
565,KNbSrGeO6,K,Nb,Sr,Ge,4.449250085
566,KNbSrSiO6,K,Nb,Sr,Si,3.980946504
567,KNbSrSnO6,K,Nb,Sr,Sn,4.96090882
568,KNbSrTiO6,K,Nb,Sr,Ti,3.452977088
569,KNbTlNbO6,K,Nb,Tl,Nb,1.839635631
570,KNbYAlO6,K,Nb,Y,Al,4.7281547
571,KSbAgNbO6,K,Sb,Ag,Nb,3.905838936
572,KSbBaTiO6,K,Sb,Ba,Ti,3.721262439
573,KSbCaGeO6,K,Sb,Ca,Ge,1.882994929
574,KSbCaSiO6,K,Sb,Ca,Si,2.732953318
575,KSbCaSnO6,K,Sb,Ca,Sn,2.713900428
576,KSbCaTiO6,K,Sb,Ca,Ti,4.271677539
577,KSbGaNbO6,K,Sb,Ga,Nb,1.968260223
578,KSbLaAlO6,K,Sb,La,Al,4.319046481
579,KSbLaGaO6,K,Sb,La,Ga,2.751327197
580,KSbLaInO6,K,Sb,La,In,3.368820572
581,KSbLiNbO6,K,Sb,Li,Nb,4.305385483
582,KSbLiVO6,K,Sb,Li,V,1.895420667
583,KSbMgTiO6,K,Sb,Mg,Ti,4.604765276
584,KSbMgZrO6,K,Sb,Mg,Zr,5.774517555
585,KSbNaNbO6,K,Sb,Na,Nb,4.209344679
586,KSbNaVO6,K,Sb,Na,V,1.877171235
587,KSbPbTiO6,K,Sb,Pb,Ti,3.967764744
588,KSbRbNbO6,K,Sb,Rb,Nb,3.689934172
589,KSbSnHfO6,K,Sb,Sn,Hf,4.021699995
590,KSbSnTiO6,K,Sb,Sn,Ti,3.131082711
591,KSbSrSiO6,K,Sb,Sr,Si,2.212024856
592,KSbSrSnO6,K,Sb,Sr,Sn,1.629370353
593,KSbSrTiO6,K,Sb,Sr,Ti,4.049643271
594,KSbTlNbO6,K,Sb,Tl,Nb,1.75729976
595,KSbYAlO6,K,Sb,Y,Al,4.558409892
596,KTaAgNbO6,K,Ta,Ag,Nb,3.433225646
597,KTaAgTaO6,K,Ta,Ag,Ta,3.966798043
598,KTaBaSnO6,K,Ta,Ba,Sn,5.196457856
599,KTaBaTiO6,K,Ta,Ba,Ti,3.753540391
600,KTaCaGeO6,K,Ta,Ca,Ge,5.429801846
601,KTaCaHfO6,K,Ta,Ca,Hf,5.46520753
602,KTaCaSiO6,K,Ta,Ca,Si,5.106337532
603,KTaCaSnO6,K,Ta,Ca,Sn,5.221454507
604,KTaCaTiO6,K,Ta,Ca,Ti,4.251020823
605,KTaCaZrO6,K,Ta,Ca,Zr,5.396139557
606,KTaCsNbO6,K,Ta,Cs,Nb,3.294911002
607,KTaCsVO6,K,Ta,Cs,V,2.274588477
608,KTaGaNbO6,K,Ta,Ga,Nb,1.72329943
609,KTaGaTaO6,K,Ta,Ga,Ta,2.210934079
610,KTaKNbO6,K,Ta,K,Nb,3.448861519
611,KTaKSbO6,K,Ta,K,Sb,4.372567795
612,KTaLaAlO6,K,Ta,La,Al,5.379821007
613,KTaLaGaO6,K,Ta,La,Ga,5.70532802
614,KTaLaInO6,K,Ta,La,In,5.816215972
615,KTaLaScO6,K,Ta,La,Sc,5.649467495
616,KTaLiNbO6,K,Ta,Li,Nb,3.572560671
617,KTaLiTaO6,K,Ta,Li,Ta,4.13821904
618,KTaLiVO6,K,Ta,Li,V,2.301864217
619,KTaMgTiO6,K,Ta,Mg,Ti,5.203062127
620,KTaMgZrO6,K,Ta,Mg,Zr,5.499681919
621,KTaNaNbO6,K,Ta,Na,Nb,3.540818105
622,KTaNaSbO6,K,Ta,Na,Sb,4.710700726
623,KTaNaTaO6,K,Ta,Na,Ta,4.105232239
624,KTaNaVO6,K,Ta,Na,V,1.977986049
625,KTaPbHfO6,K,Ta,Pb,Hf,5.212113424
626,KTaPbTiO6,K,Ta,Pb,Ti,3.929727131
627,KTaPbZrO6,K,Ta,Pb,Zr,5.116273478
628,KTaRbNbO6,K,Ta,Rb,Nb,3.385510444
629,KTaRbTaO6,K,Ta,Rb,Ta,3.939485875
630,KTaSnHfO6,K,Ta,Sn,Hf,4.123323475
631,KTaSnTiO6,K,Ta,Sn,Ti,3.196291471
632,KTaSnZrO6,K,Ta,Sn,Zr,4.092547044
633,KTaSrGeO6,K,Ta,Sr,Ge,5.134653758
634,KTaSrHfO6,K,Ta,Sr,Hf,5.157179336
635,KTaSrSiO6,K,Ta,Sr,Si,5.004405535
636,KTaSrSnO6,K,Ta,Sr,Sn,5.550200753
637,KTaSrTiO6,K,Ta,Sr,Ti,3.877403015
638,KTaSrZrO6,K,Ta,Sr,Zr,5.061804247
639,KTaTlNbO6,K,Ta,Tl,Nb,1.760505571
640,KTaTlTaO6,K,Ta,Tl,Ta,2.244292146
641,KTaYAlO6,K,Ta,Y,Al,5.733834897
642,LaAlLaGaO6,La,Al,La,Ga,6.766541856
643,LaAlLaInO6,La,Al,La,In,6.523672765
644,LaAlMgTiO6,La,Al,Mg,Ti,5.189103214
645,LaAlSnTiO6,La,Al,Sn,Ti,3.452664382
646,LaAlYAlO6,La,Al,Y,Al,7.493232168
647,LaGaLaInO6,La,Ga,La,In,5.0911409
648,LaGaMgTiO6,La,Ga,Mg,Ti,5.244393485
649,LaGaSnTiO6,La,Ga,Sn,Ti,4.003966794
650,LaGaYAlO6,La,Ga,Y,Al,6.95217569
651,LaInMgTiO6,La,In,Mg,Ti,5.177625765
652,LaInSnTiO6,La,In,Sn,Ti,3.324618535
653,LaInYAlO6,La,In,Y,Al,6.125274178
654,LaScAgNbO6,La,Sc,Ag,Nb,4.33272259
655,LaScAgTaO6,La,Sc,Ag,Ta,5.009320756
656,LaScBaSnO6,La,Sc,Ba,Sn,6.787878886
657,LaScBaTiO6,La,Sc,Ba,Ti,5.052614065
658,LaScCaGeO6,La,Sc,Ca,Ge,7.230272945
659,LaScCaSiO6,La,Sc,Ca,Si,7.136365745
660,LaScCaSnO6,La,Sc,Ca,Sn,6.652121121
661,LaScCaTiO6,La,Sc,Ca,Ti,5.360804586
662,LaScCsNbO6,La,Sc,Cs,Nb,4.414961176
663,LaScCsVO6,La,Sc,Cs,V,2.104586049
664,LaScGaNbO6,La,Sc,Ga,Nb,2.439044072
665,LaScInNbO6,La,Sc,In,Nb,1.623070352
666,LaScKNbO6,La,Sc,K,Nb,4.819276462
667,LaScKSbO6,La,Sc,K,Sb,5.827808786
668,LaScLaAlO6,La,Sc,La,Al,6.066795195
669,LaScLaGaO6,La,Sc,La,Ga,6.065509156
670,LaScLaInO6,La,Sc,La,In,6.687201247
671,LaScLiNbO6,La,Sc,Li,Nb,4.815912181
672,LaScLiTaO6,La,Sc,Li,Ta,5.566786019
673,LaScLiVO6,La,Sc,Li,V,2.829679604
674,LaScMgTiO6,La,Sc,Mg,Ti,5.328311049
675,LaScMgZrO6,La,Sc,Mg,Zr,7.318121814
676,LaScNaNbO6,La,Sc,Na,Nb,4.961520789
677,LaScNaSbO6,La,Sc,Na,Sb,6.025996426
678,LaScNaVO6,La,Sc,Na,V,2.340322481
679,LaScPbHfO6,La,Sc,Pb,Hf,5.582233225
680,LaScPbTiO6,La,Sc,Pb,Ti,5.02202552
681,LaScPbZrO6,La,Sc,Pb,Zr,5.69255743
682,LaScRbNbO6,La,Sc,Rb,Nb,4.729214611
683,LaScSnHfO6,La,Sc,Sn,Hf,5.144975193
684,LaScSnTiO6,La,Sc,Sn,Ti,3.53219192
685,LaScSnZrO6,La,Sc,Sn,Zr,5.033477645
686,LaScSrGeO6,La,Sc,Sr,Ge,7.046287532
687,LaScSrHfO6,La,Sc,Sr,Hf,7.331300549
688,LaScSrSiO6,La,Sc,Sr,Si,7.056130171
689,LaScSrSnO6,La,Sc,Sr,Sn,6.589774789
690,LaScSrTiO6,La,Sc,Sr,Ti,5.102706272
691,LaScSrZrO6,La,Sc,Sr,Zr,7.093181861
692,LaScTlNbO6,La,Sc,Tl,Nb,2.938221938
693,LaScTlTaO6,La,Sc,Tl,Ta,3.672398617
694,LaScYAlO6,La,Sc,Y,Al,7.503217509
695,LiNbAgNbO6,Li,Nb,Ag,Nb,3.196015637
696,LiNbCaGeO6,Li,Nb,Ca,Ge,4.659391641
697,LiNbCaSiO6,Li,Nb,Ca,Si,4.303741955
698,LiNbCaSnO6,Li,Nb,Ca,Sn,4.816024988
699,LiNbCaTiO6,Li,Nb,Ca,Ti,3.647495276
700,LiNbLaAlO6,Li,Nb,La,Al,4.578444546
701,LiNbLaGaO6,Li,Nb,La,Ga,4.680252029
702,LiNbLaInO6,Li,Nb,La,In,4.789109121
703,LiNbMgTiO6,Li,Nb,Mg,Ti,5.184540584
704,LiNbSnTiO6,Li,Nb,Sn,Ti,2.791704414
705,LiNbSrGeO6,Li,Nb,Sr,Ge,4.595673331
706,LiNbSrSnO6,Li,Nb,Sr,Sn,5.081040725
707,LiNbYAlO6,Li,Nb,Y,Al,5.004391786
708,LiTaAgNbO6,Li,Ta,Ag,Nb,3.554134478
709,LiTaAgTaO6,Li,Ta,Ag,Ta,4.076533852
710,LiTaBaSnO6,Li,Ta,Ba,Sn,5.588445276
711,LiTaBaTiO6,Li,Ta,Ba,Ti,3.879725309
712,LiTaCaGeO6,Li,Ta,Ca,Ge,5.709269761
713,LiTaCaHfO6,Li,Ta,Ca,Hf,5.736424391
714,LiTaCaSiO6,Li,Ta,Ca,Si,5.329736032
715,LiTaCaSnO6,Li,Ta,Ca,Sn,5.380446883
716,LiTaCaTiO6,Li,Ta,Ca,Ti,4.095229431
717,LiTaCsNbO6,Li,Ta,Cs,Nb,3.395525567
718,LiTaCsVO6,Li,Ta,Cs,V,2.599914523
719,LiTaGaNbO6,Li,Ta,Ga,Nb,1.730549506
720,LiTaGaTaO6,Li,Ta,Ga,Ta,2.22363242
721,LiTaKNbO6,Li,Ta,K,Nb,3.572092108
722,LiTaKSbO6,Li,Ta,K,Sb,4.815169799
723,LiTaLaAlO6,Li,Ta,La,Al,5.475204549
724,LiTaLaGaO6,Li,Ta,La,Ga,5.800399131
725,LiTaLaInO6,Li,Ta,La,In,5.462839196
726,LiTaLiNbO6,Li,Ta,Li,Nb,3.784446853
727,LiTaLiVO6,Li,Ta,Li,V,2.046245105
728,LiTaMgTiO6,Li,Ta,Mg,Ti,5.556495063
729,LiTaMgZrO6,Li,Ta,Mg,Zr,6.196617848
730,LiTaNaNbO6,Li,Ta,Na,Nb,3.680948662
731,LiTaNaSbO6,Li,Ta,Na,Sb,5.200533194
732,LiTaNaTaO6,Li,Ta,Na,Ta,4.252210484
733,LiTaNaVO6,Li,Ta,Na,V,2.545787213
734,LiTaPbHfO6,Li,Ta,Pb,Hf,5.216893252
735,LiTaPbTiO6,Li,Ta,Pb,Ti,4.072581019
736,LiTaPbZrO6,Li,Ta,Pb,Zr,5.087064944
737,LiTaRbNbO6,Li,Ta,Rb,Nb,3.510160202
738,LiTaSnHfO6,Li,Ta,Sn,Hf,4.033662859
739,LiTaSnTiO6,Li,Ta,Sn,Ti,3.193104076
740,LiTaSnZrO6,Li,Ta,Sn,Zr,4.001917779
741,LiTaSrGeO6,Li,Ta,Sr,Ge,5.630547119
742,LiTaSrHfO6,Li,Ta,Sr,Hf,5.270828814
743,LiTaSrSiO6,Li,Ta,Sr,Si,5.238077372
744,LiTaSrSnO6,Li,Ta,Sr,Sn,5.96871878
745,LiTaSrTiO6,Li,Ta,Sr,Ti,4.014617303
746,LiTaTlNbO6,Li,Ta,Tl,Nb,1.757873497
747,LiTaTlTaO6,Li,Ta,Tl,Ta,2.248528162
748,LiTaYAlO6,Li,Ta,Y,Al,6.007036608
749,LiVAgNbO6,Li,V,Ag,Nb,2.152959222
750,LiVCaGeO6,Li,V,Ca,Ge,2.638234338
751,LiVCaSiO6,Li,V,Ca,Si,1.748630683
752,LiVCaSnO6,Li,V,Ca,Sn,2.241717159
753,LiVCaTiO6,Li,V,Ca,Ti,3.037879554
754,LiVCsNbO6,Li,V,Cs,Nb,2.733391795
755,LiVKNbO6,Li,V,K,Nb,2.205816478
756,LiVLaAlO6,Li,V,La,Al,2.385917639
757,LiVLaGaO6,Li,V,La,Ga,2.399066466
758,LiVLaInO6,Li,V,La,In,2.757312288
759,LiVLiNbO6,Li,V,Li,Nb,2.293919511
760,LiVMgTiO6,Li,V,Mg,Ti,3.316236372
761,LiVRbNbO6,Li,V,Rb,Nb,2.267615615
762,LiVSnTiO6,Li,V,Sn,Ti,0.814423789
763,LiVSrSnO6,Li,V,Sr,Sn,2.206413884
764,LiVTlNbO6,Li,V,Tl,Nb,0.371308878
765,LiVYAlO6,Li,V,Y,Al,2.263499247
766,MgTiSnTiO6,Mg,Ti,Sn,Ti,2.321158509
767,MgTiYAlO6,Mg,Ti,Y,Al,5.332891749
768,MgZrAgNbO6,Mg,Zr,Ag,Nb,4.547511185
769,MgZrAgTaO6,Mg,Zr,Ag,Ta,4.931917058
770,MgZrCaGeO6,Mg,Zr,Ca,Ge,6.476064938
771,MgZrCaSiO6,Mg,Zr,Ca,Si,7.780486817
772,MgZrCaSnO6,Mg,Zr,Ca,Sn,6.514943947
773,MgZrCaTiO6,Mg,Zr,Ca,Ti,5.92861799
774,MgZrInTaO6,Mg,Zr,In,Ta,2.058860702
775,MgZrLaAlO6,Mg,Zr,La,Al,7.244306501
776,MgZrLaGaO6,Mg,Zr,La,Ga,6.972198503
777,MgZrLaInO6,Mg,Zr,La,In,6.202966753
778,MgZrLiNbO6,Mg,Zr,Li,Nb,5.014033707
779,MgZrLiVO6,Mg,Zr,Li,V,3.388074816
780,MgZrMgTiO6,Mg,Zr,Mg,Ti,5.855148192
781,MgZrNaNbO6,Mg,Zr,Na,Nb,5.722109937
782,MgZrNaSbO6,Mg,Zr,Na,Sb,5.816665475
783,MgZrNaVO6,Mg,Zr,Na,V,3.175799158
784,MgZrPbHfO6,Mg,Zr,Pb,Hf,5.131563185
785,MgZrPbTiO6,Mg,Zr,Pb,Ti,4.57721179
786,MgZrPbZrO6,Mg,Zr,Pb,Zr,5.703907938
787,MgZrRbNbO6,Mg,Zr,Rb,Nb,5.208754396
788,MgZrSnHfO6,Mg,Zr,Sn,Hf,4.845414529
789,MgZrSnTiO6,Mg,Zr,Sn,Ti,3.285225476
790,MgZrSnZrO6,Mg,Zr,Sn,Zr,4.79223757
791,MgZrSrGeO6,Mg,Zr,Sr,Ge,5.950811102
792,MgZrSrSiO6,Mg,Zr,Sr,Si,7.353328806
793,MgZrSrSnO6,Mg,Zr,Sr,Sn,6.360185946
794,MgZrSrTiO6,Mg,Zr,Sr,Ti,5.734546456
795,MgZrTlNbO6,Mg,Zr,Tl,Nb,3.544579097
796,MgZrTlTaO6,Mg,Zr,Tl,Ta,4.248901231
797,MgZrYAlO6,Mg,Zr,Y,Al,7.555574901
798,NaNbAgNbO6,Na,Nb,Ag,Nb,3.139328058
799,NaNbCaGeO6,Na,Nb,Ca,Ge,4.62174398
800,NaNbCaSiO6,Na,Nb,Ca,Si,4.24087257
801,NaNbCaSnO6,Na,Nb,Ca,Sn,4.925651545
802,NaNbCaTiO6,Na,Nb,Ca,Ti,4.451940278
803,NaNbLaAlO6,Na,Nb,La,Al,4.557970413
804,NaNbLaGaO6,Na,Nb,La,Ga,4.913052241
805,NaNbLaInO6,Na,Nb,La,In,5.013442147
806,NaNbLiNbO6,Na,Nb,Li,Nb,3.659244615
807,NaNbLiVO6,Na,Nb,Li,V,2.760541559
808,NaNbMgTiO6,Na,Nb,Mg,Ti,5.159811711
809,NaNbNaSbO6,Na,Nb,Na,Sb,4.537857987
810,NaNbNaVO6,Na,Nb,Na,V,2.744136121
811,NaNbSnTiO6,Na,Nb,Sn,Ti,2.796893306
812,NaNbSrGeO6,Na,Nb,Sr,Ge,4.563114357
813,NaNbSrSiO6,Na,Nb,Sr,Si,4.111084921
814,NaNbSrSnO6,Na,Nb,Sr,Sn,5.055755556
815,NaNbSrTiO6,Na,Nb,Sr,Ti,3.546993655
816,NaNbYAlO6,Na,Nb,Y,Al,4.904866831
817,NaSbAgNbO6,Na,Sb,Ag,Nb,4.154201606
818,NaSbCaGeO6,Na,Sb,Ca,Ge,2.826551875
819,NaSbCaSiO6,Na,Sb,Ca,Si,3.831576869
820,NaSbCaSnO6,Na,Sb,Ca,Sn,3.14998536
821,NaSbCaTiO6,Na,Sb,Ca,Ti,4.569549916
822,NaSbLaAlO6,Na,Sb,La,Al,4.720018949
823,NaSbLaGaO6,Na,Sb,La,Ga,3.114709108
824,NaSbLaInO6,Na,Sb,La,In,3.909197233
825,NaSbLiNbO6,Na,Sb,Li,Nb,4.652893468
826,NaSbLiVO6,Na,Sb,Li,V,2.521096508
827,NaSbMgTiO6,Na,Sb,Mg,Ti,4.316566414
828,NaSbNaVO6,Na,Sb,Na,V,1.933565235
829,NaSbSnTiO6,Na,Sb,Sn,Ti,3.277038807
830,NaSbSrGeO6,Na,Sb,Sr,Ge,2.10329495
831,NaSbSrSiO6,Na,Sb,Sr,Si,2.87021297
832,NaSbSrSnO6,Na,Sb,Sr,Sn,2.010337533
833,NaSbSrTiO6,Na,Sb,Sr,Ti,4.337563243
834,NaSbYAlO6,Na,Sb,Y,Al,5.345071995
835,NaTaAgNbO6,Na,Ta,Ag,Nb,3.523243739
836,NaTaAgTaO6,Na,Ta,Ag,Ta,4.048614558
837,NaTaBaSnO6,Na,Ta,Ba,Sn,5.488531427
838,NaTaBaTiO6,Na,Ta,Ba,Ti,3.851203471
839,NaTaCaGeO6,Na,Ta,Ca,Ge,5.672504696
840,NaTaCaSiO6,Na,Ta,Ca,Si,5.285961533
841,NaTaCaSnO6,Na,Ta,Ca,Sn,5.618239319
842,NaTaCaTiO6,Na,Ta,Ca,Ti,4.063019945
843,NaTaCsNbO6,Na,Ta,Cs,Nb,3.37538625
