,material_id,formula,nsites,space_group,volume,structure,band_gap,e_electronic,e_total,n,poly_electronic,poly_total,pot_ferroelectric
151,mp-2400,NaS,8,194,181.502093245,"Full Formula (Na4 S4)
Reduced Formula: NaS
abc   :   4.514309   4.514310  10.284149
angles:  90.000000  90.000000 120.000001
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Na    0         0         0
  1  Na    0         0         0.5
  2  Na    0.333333  0.666667  0.25
  3  Na    0.666667  0.333333  0.75
  4  S     0.333333  0.666667  0.644551
  5  S     0.666667  0.333333  0.144551
  6  S     0.666667  0.333333  0.355449
  7  S     0.333333  0.666667  0.855449",1.23,"[[3.58088449, -0.00068694, -8.073000000000001e-05], [-0.00065392, 3.57949375, 0.0002308], [-8.34e-06, 0.00011938, 5.09413145]]","[[6.73234075, -9.721000000000004e-05, 1.4770000000000011e-05], [-6.419000000000001e-05, 6.73172394, -0.00013633000000000002], [8.716e-05, -0.00024775000000000003, 11.21394811]]",2.02,4.08,8.23,False
152,mp-2552,TeO3,8,167,97.26408460360001,"Full Formula (Te2 O6)
Reduced Formula: TeO3
abc   :   5.284606   5.284606   5.284606
angles:  57.051402  57.051404  57.051401
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Te    0         0         0
  1  Te    0.5       0.5       0.5
  2  O     0.885891  0.614109  0.25
  3  O     0.25      0.885891  0.614109
  4  O     0.614109  0.25      0.885891
  5  O     0.114109  0.385891  0.75
  6  O     0.75      0.114109  0.385891
  7  O     0.385891  0.75      0.114109",1.15,"[[5.35539923, 0.14533066, 0.39709236000000003], [0.14705392, 5.24396668, 0.27212456], [0.39286572000000003, 0.27249494, 5.88010666]]","[[14.41339537, 0.579533499999999, 1.5986542099999999], [0.58125676, 13.960988949999999, 1.10108594], [1.5944275700000001, 1.10145632, 16.53130302]]",2.34,5.49,14.97,False
153,mp-6949,InF3,8,167,128.367453982,"Full Formula (In2 F6)
Reduced Formula: InF3
abc   :   5.831108   5.831109   5.831109
angles:  56.351987  56.351980  56.351984
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  In    0.5       0.5       0.5
  1  In    0         0         0
  2  F     0.367536  0.75      0.132464
  3  F     0.75      0.132464  0.367536
  4  F     0.867536  0.632464  0.25
  5  F     0.25      0.867536  0.632464
  6  F     0.632464  0.25      0.867536
  7  F     0.132464  0.367536  0.75",4.02,"[[2.27017582, 0.00480208, 0.01600334], [0.0067046, 2.26529321, 0.00913469], [0.01417229, 0.01152942, 2.2900543]]","[[6.00208399, 0.10543721, 0.310165629999999], [0.10733973000000001, 5.911693919999999, 0.21005206], [0.308334579999999, 0.21244679000000002, 6.39330112]]",1.51,2.28,6.1,False
154,mp-8511,PF5,12,194,182.96308114,"Full Formula (P2 F10)
Reduced Formula: PF5
abc   :   5.755288   5.755288   6.378208
angles:  90.000000  90.000000 119.999998
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  P     0.666667  0.333333  0.75
  1  P     0.333333  0.666667  0.25
  2  F     0.823158  0.646316  0.75
  3  F     0.176842  0.823158  0.25
  4  F     0.333333  0.666667  0.502649
  5  F     0.666667  0.333333  0.002649
  6  F     0.666667  0.333333  0.497351
  7  F     0.333333  0.666667  0.997351
  8  F     0.176842  0.353684  0.25
  9  F     0.823158  0.176842  0.75
 10  F     0.353684  0.176842  0.75
 11  F     0.646316  0.823158  0.25",7.09,"[[1.6870284999999998, 8.589999999999999e-06, -1.8120000000000003e-05], [-3.6360000000000004e-05, 1.68688986, -0.00036948], [2.062e-05, 0.00038815000000000003, 1.7289515400000002]]","[[2.02267781, -2.691e-05, -4.095e-05], [-7.186e-05, 2.02215027, -0.00081422], [-2.210000000000001e-06, -5.659000000000003e-05, 2.38993881]]",1.3,1.7,2.14,False
155,mp-22896,LaCl3,8,176,219.03583951,"Full Formula (La2 Cl6)
Reduced Formula: LaCl3
abc   :   7.602965   7.602965   4.375408
angles:  90.000000  90.000000 120.000003
Sites (8)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  La    0.666667  0.333333  0.75
  1  La    0.333333  0.666667  0.25
  2  Cl    0.607999  0.694903  0.75
  3  Cl    0.913095  0.607999  0.25
  4  Cl    0.392001  0.305097  0.25
  5  Cl    0.086905  0.392001  0.75
  6  Cl    0.305097  0.913095  0.75
  7  Cl    0.694903  0.086905  0.25",3.65,"[[3.61549745, -0.00073828, -3.949e-05], [0.00054959, 3.61492681, -1.3360000000000003e-05], [-0.00018513, 6.951000000000002e-05, 3.99053228]]","[[9.12316353, -0.00622218, -0.00017800999999900002], [-0.00493431, 9.10925424, -0.00038902], [-0.00032365000000000003, -0.00030615, 12.41588258]]",1.93,3.74,10.22,False
156,mp-8289,SnF3,8,225,170.41869507,"Full Formula (Sn2 F6)
Reduced Formula: SnF3
abc   :   6.223157   6.223157   6.223157
angles:  59.999995  59.999996  59.999993
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Sn    0.5       0.5       0.5
  1  Sn    0         0         0
  2  F     0.271393  0.728607  0.728607
  3  F     0.271393  0.728607  0.271393
  4  F     0.728607  0.271393  0.271393
  5  F     0.728607  0.728607  0.271393
  6  F     0.271393  0.271393  0.728607
  7  F     0.728607  0.271393  0.728607",2.72,"[[2.59861018, -0.00022539999999999998, 7.339000000000001e-05], [-0.00022932, 2.59856181, 4.519999999999999e-06], [7.252e-05, 2.2999999999999996e-06, 2.59816684]]","[[8.79007448, 0.00021512000000000001, 0.00023896], [0.00021119999999999998, 8.78614741, -0.00044261], [0.00023809, -0.00044483, 8.79135609]]",1.61,2.6,8.79,False
157,mp-23263,LaBr3,8,176,258.099709313,"Full Formula (La2 Br6)
Reduced Formula: LaBr3
abc   :   8.127060   8.127060   4.512217
angles:  90.000000  90.000000 120.000001
Sites (8)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  La    0.666667  0.333333  0.75
  1  La    0.333333  0.666667  0.25
  2  Br    0.61088   0.697827  0.75
  3  Br    0.913053  0.61088   0.25
  4  Br    0.38912   0.302173  0.25
  5  Br    0.086947  0.38912   0.75
  6  Br    0.302173  0.913053  0.75
  7  Br    0.697827  0.086947  0.25",2.92,"[[4.2596705, -0.00025105, -0.00044319], [0.0001424, 4.25850613, 0.00026859999999999997], [0.00035085, -0.00021769999999999998, 4.72260533]]","[[9.628752420000001, -0.009268299999999001, -0.0016316500000000001], [-0.00887485, 9.64464813, 0.00084161], [-0.0008376099999990001, 0.00035530999999900005, 12.804369000000001]]",2.1,4.41,10.69,False
158,mp-570589,SeBr,8,41,289.97615096,"Full Formula (Se4 Br4)
Reduced Formula: SeBr
abc   :   4.469746   4.469745  15.112225
angles:  90.000000  90.000000 106.170833
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Se    0.685258  0.926381  0.54873
  1  Se    0.426381  0.185258  0.04873
  2  Se    0.185258  0.426381  0.95127
  3  Se    0.926381  0.685258  0.45127
  4  Br    0.947327  0.066233  0.835162
  5  Br    0.447327  0.566233  0.664838
  6  Br    0.066233  0.947327  0.164838
  7  Br    0.566233  0.447327  0.335162",1.51,"[[4.16625032, 0.02740518, 4.5910000000000006e-05], [0.02693305, 4.17937693, -6.701000000000001e-05], [-4.845e-05, 6.467e-05, 5.59331978]]","[[4.79880781, -0.044334540000000006, 0.00010553], [-0.04480667000000001, 4.77656026, -4.374999999999999e-05], [1.1170000000000001e-05, 8.793000000000002e-05, 9.36351999]]",2.16,4.65,6.31,False
159,mp-25469,AlCl3,8,12,199.90278133099997,"Full Formula (Al2 Cl6)
Reduced Formula: AlCl3
abc   :   6.024170   6.024170   6.653237
angles:  98.465010  98.465003 119.970237
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.833383  0.166617  0
  1  Al    0.166617  0.833383  0
  2  Cl    0.795473  0.795473  0.788733
  3  Cl    0.204527  0.204527  0.211267
  4  Cl    0.56832   0.931503  0.210368
  5  Cl    0.068497  0.43168   0.789632
  6  Cl    0.43168   0.068497  0.789632
  7  Cl    0.931503  0.56832   0.210368",5.26,"[[3.01085326, -0.02256387, -0.07581278], [-0.02292552, 2.98166702, -0.13930977], [-0.07623288, -0.13930889999999999, 2.54999868]]","[[6.47141439, -0.15102663, -0.52016826], [-0.15138828000000001, 6.29045359, -0.95124843], [-0.5205883600000001, -0.9512475600000001, 3.29706615]]",1.69,2.85,5.35,False
160,mp-558118,BeF2,9,180,112.862410931,"Full Formula (Be3 F6)
Reduced Formula: BeF2
abc   :   4.916906   4.916906   5.390573
angles:  90.000000  90.000000 120.000003
Sites (9)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Be    0         0.5       0.666667
  1  Be    0.5       0         0
  2  Be    0.5       0.5       0.333333
  3  F     0.79011   0.580221  0.5
  4  F     0.20989   0.79011   0.833333
  5  F     0.79011   0.20989   0.833333
  6  F     0.419779  0.20989   0.166667
  7  F     0.580221  0.79011   0.166667
  8  F     0.20989   0.419779  0.5",8.09,"[[1.74272626, -0.00037254000000000003, -1.9450000000000002e-05], [0.00038428000000000003, 1.7427416500000001, 4.17e-06], [2.0700000000000002e-05, -3.74e-06, 1.74913682]]","[[3.351768019999999, -0.00032176, 0.000234889999999], [0.000435059999999, 3.3522432, 1.840999999999999e-05], [0.00027504, 1.0500000000000001e-05, 3.47922865]]",1.32,1.74,3.39,True
161,mp-1340,Ga2Se3,10,9,262.14516454200003,"Full Formula (Ga4 Se6)
Reduced Formula: Ga2Se3
abc   :   6.811549   6.769895   6.896578
angles:  80.952453  60.407016  71.431750
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ga    0.719274  0.505142  0.497747
  1  Ga    0.217022  0.005142  0.502253
  2  Ga    0.416057  0.500989  0.170114
  3  Ga    0.586171  0.000989  0.829886
  4  Se    0.259621  0.886619  0.155944
  5  Se    0.415565  0.386619  0.844056
  6  Se    0.781329  0.362363  0.171773
  7  Se    0.953102  0.862363  0.828227
  8  Se    0.098503  0.392486  0.514453
  9  Se    0.612957  0.892486  0.485547",1.04,"[[7.76244988, 0.21203678, 0.03196762], [0.21358062, 8.38988093, 0.12235729999999999], [0.032121699999999996, 0.12054107, 7.72452381]]","[[11.13199958, 0.90359888, -0.08993069000000001], [0.9051427200000001, 13.704556629999999, 0.52115423], [-0.08977660999999901, 0.519338, 11.24245902]]",2.82,7.96,12.03,False
162,mp-8484,ZnO2,12,205,121.826762067,"Full Formula (Zn4 O8)
Reduced Formula: ZnO2
abc   :   4.957327   4.957327   4.957327
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Zn    0         0.5       0.5
  1  Zn    0.5       0.5       0
  2  Zn    0.5       0         0.5
  3  Zn    0         0         0
  4  O     0.412583  0.087417  0.912583
  5  O     0.087417  0.912583  0.412583
  6  O     0.912583  0.412583  0.087417
  7  O     0.587417  0.587417  0.587417
  8  O     0.412583  0.412583  0.412583
  9  O     0.087417  0.587417  0.912583
 10  O     0.912583  0.087417  0.587417
 11  O     0.587417  0.912583  0.087417",2.13,"[[4.18153859, -0.00079787, 0.0016678700000000001], [-0.0031949400000000003, 4.18343994, -0.0041605], [0.00073382, -0.00116774, 4.17823805]]","[[10.79440518, -0.02638265, 0.00361387], [-0.02877972, 10.79730317, 0.013187899999999001], [0.0026798200000000003, 0.01618066, 10.79489429]]",2.04,4.18,10.8,False
163,mp-871,FeSi,8,198,88.1333635115,"Full Formula (Fe4 Si4)
Reduced Formula: FeSi
abc   :   4.450206   4.450206   4.450206
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Fe    0.863695  0.636305  0.363695
  1  Fe    0.636305  0.363695  0.863695
  2  Fe    0.363695  0.863695  0.636305
  3  Fe    0.136305  0.136305  0.136305
  4  Si    0.159199  0.340801  0.659199
  5  Si    0.340801  0.659199  0.159199
  6  Si    0.659199  0.159199  0.340801
  7  Si    0.840801  0.840801  0.840801",0.18,"[[90.78525877, 0.10418519999999999, -0.28076815], [-0.10432939000000001, 90.78363907, -0.05840403], [0.28103725, 0.06349694, 90.78676746]]","[[112.32728829, 0.27649762, -0.27614369], [0.06798303, 112.36144339, -0.06700691], [0.28566171, 0.05489406, 112.31839901999999]]",9.53,90.79,112.34,False
164,mp-559091,SiO2,12,182,195.322942348,"Full Formula (Si4 O8)
Reduced Formula: SiO2
abc   :   5.112299   5.112298   8.629591
angles:  90.000000  90.000000 120.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Si    0.666667  0.333333  0.937217
  1  Si    0.666667  0.333333  0.562783
  2  Si    0.333333  0.666667  0.062783
  3  Si    0.333333  0.666667  0.437217
  4  O     0         0.420647  0
  5  O     0.420647  0.420647  0.5
  6  O     0.579353  0         0.5
  7  O     0.579353  0.579353  0
  8  O     1         0.579353  0.5
  9  O     0.666667  0.333333  0.75
 10  O     0.333333  0.666667  0.25
 11  O     0.420647  0         0",5.44,"[[2.14108024, -0.00025281, -0.00416931], [0.00023737, 2.14104125, -0.0011433300000000001], [0.00412119, 0.0012423900000000001, 2.15780722]]","[[3.78352896, -0.00027628, -0.014218370000000001], [0.00021390000000000002, 3.78250584, -0.00459199], [-0.00592787, -0.00220627, 3.96122013]]",1.47,2.15,3.84,True
165,mp-2030,RuS2,12,205,180.920258114,"Full Formula (Ru4 S8)
Reduced Formula: RuS2
abc   :   5.655822   5.655822   5.655822
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ru    0         0.5       0.5
  1  Ru    0.5       0.5       0
  2  Ru    0.5       0         0.5
  3  Ru    0         0         0
  4  S     0.387199  0.112801  0.887199
  5  S     0.112801  0.887199  0.387199
  6  S     0.887199  0.387199  0.112801
  7  S     0.612801  0.612801  0.612801
  8  S     0.387199  0.387199  0.387199
  9  S     0.112801  0.612801  0.887199
 10  S     0.887199  0.112801  0.612801
 11  S     0.612801  0.887199  0.112801",0.67,"[[16.68694359, 3.943000000000001e-05, 0.00011426000000000001], [5.0350000000000004e-05, 16.68664661, 0.00011003], [0.00012019, 0.00011917, 16.68689546]]","[[20.695467049999998, -0.00018964, 0.00017597], [-0.00017872, 20.69471874, -0.00037189], [0.0001819, -0.00036275, 20.69449379]]",4.08,16.69,20.69,False
166,mp-20066,CO2,12,205,195.384509852,"Full Formula (C4 O8)
Reduced Formula: CO2
abc   :   5.802699   5.802699   5.802699
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  C     0         0         0
  1  C     0.5       0         0.5
  2  C     0.5       0.5       0
  3  C     0         0.5       0.5
  4  O     0.116934  0.116934  0.116934
  5  O     0.383066  0.883066  0.616934
  6  O     0.616934  0.383066  0.883066
  7  O     0.883066  0.616934  0.383066
  8  O     0.883066  0.883066  0.883066
  9  O     0.616934  0.116934  0.383066
 10  O     0.383066  0.616934  0.116934
 11  O     0.116934  0.383066  0.616934",6.63,"[[1.86595909, -0.00038646, 0.0005901], [0.00027445000000000003, 1.8646551599999999, -0.00037041], [-5.6750000000000004e-05, 0.00035832, 1.8647470099999999]]","[[2.07831885, -0.00051398, 0.0006923400000000001], [0.00014692999999900002, 2.07666302, -0.00059662], [4.549000000000001e-05, 0.00013211, 2.07750629]]",1.37,1.87,2.08,False
167,mp-468,AlF3,8,167,92.3102200416,"Full Formula (Al2 F6)
Reduced Formula: AlF3
abc   :   5.112226   5.112226   5.112226
angles:  58.995666  58.995672  58.995675
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.5       0.5       0.5
  1  Al    0         0         0
  2  F     0.685778  0.249999  0.814221
  3  F     0.249999  0.814221  0.685778
  4  F     0.185779  0.314222  0.750001
  5  F     0.750001  0.185779  0.314222
  6  F     0.314222  0.750001  0.185779
  7  F     0.814221  0.685778  0.249999",7.6,"[[1.94254976, 0.00046794, 0.00114681], [0.00045224, 1.94216596, 0.00080224], [0.0011118200000000001, 0.0007913600000000001, 1.94401242]]","[[4.967866519999999, 0.02493718, 0.06317293], [0.02492148, 4.94932235, 0.04408091], [0.06313794, 0.044070029999999004, 5.05670299]]",1.39,1.94,4.99,False
168,mp-23297,BrF3,8,36,141.375171434,"Full Formula (Br2 F6)
Reduced Formula: BrF3
abc   :   4.870299   4.870299   6.228833
angles:  90.000000  90.000000 106.887868
Sites (8)
  #  SP           a         b          c
---  ----  --------  --------  ---------
  0  Br    0.839809  0.160191   0.257768
  1  Br    0.160191  0.839809   0.757768
  2  F     0.067628  0.932372   0.090806
  3  F     0.932372  0.067628   0.590806
  4  F     0.262362  0.737638   0.498897
  5  F     0.737638  0.262362  -0.001103
  6  F     0.370132  0.629868   0.882529
  7  F     0.629868  0.370132   0.382529",2.16,"[[2.5467906300000003, -0.5270045800000001, 0.00190888], [-0.52701402, 2.20430408, -0.00164623], [-0.00190287, 0.00164772, 3.43597505]]","[[4.38512637, -1.56902987, 0.00974599], [-1.56903931, 3.36413202, -0.00840687], [0.005934239999999, -0.00511292, 19.16375472]]",1.65,2.73,8.97,False
169,mp-1771,NO2,12,14,185.00605272400003,"Full Formula (N4 O8)
Reduced Formula: NO2
abc   :   4.951068   6.196458   6.717130
angles: 116.134949  90.000000  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  N     0.996554  0.862299  0.021387
  1  N     0.496554  0.637701  0.478613
  2  N     0.003446  0.137701  0.978613
  3  N     0.503446  0.362299  0.521387
  4  O     0.813555  0.861211  0.138892
  5  O     0.313555  0.638789  0.361108
  6  O     0.186445  0.138789  0.861108
  7  O     0.686445  0.361211  0.638892
  8  O     0.176628  0.724803  0.925697
  9  O     0.676628  0.775197  0.574303
 10  O     0.823372  0.275197  0.074303
 11  O     0.323372  0.224803  0.425697",2.69,"[[2.11571723, 0.0005695300000000001, -0.00017149], [-0.0001663, 2.44805294, -0.35038618], [0.00076168, -0.35038177, 2.12115227]]","[[2.32192682, 0.0006146999999990001, 0.00057913], [-0.00012113, 3.0005631, -0.55212607], [0.0015122999999999998, -0.55212166, 2.42210005]]",1.49,2.23,2.58,False
170,mp-19326,MnO2,12,62,128.018071886,"Full Formula (Mn4 O8)
Reduced Formula: MnO2
abc   :   2.932471   4.646356   9.395612
angles:  90.000000  90.000000  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mn    0.25      0.464912  0.635133
  1  Mn    0.749999  0.535088  0.364867
  2  Mn    0.749999  0.964914  0.864867
  3  Mn    0.25      0.035087  0.135133
  4  O     0.25      0.159758  0.775653
  5  O     0.749999  0.840242  0.224348
  6  O     0.749999  0.659757  0.724348
  7  O     0.25      0.340243  0.275652
  8  O     0.25      0.786012  0.968801
  9  O     0.749999  0.213988  0.031199
 10  O     0.25      0.713989  0.468801
 11  O     0.749999  0.286011  0.531199",1.0,"[[11.35477176, -0.00018354, -0.00125082], [0.0004747, 6.76936206, -0.02278378], [0.00136136, 0.02216225, 12.28723753]]","[[18.756388, -0.0003046, -0.00617763], [0.00035364, 9.76505306, -0.0001488], [-0.0035654500000000004, 0.04479723, 23.42756]]",3.18,10.14,17.32,False
171,mp-556197,FeF3,8,167,109.79889208899999,"Full Formula (Fe2 F6)
Reduced Formula: FeF3
abc   :   5.457386   5.457385   5.457385
angles:  58.052638  58.052649  58.052642
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Fe    0         0         0
  1  Fe    0.5       0.5       0.5
  2  F     0.75      0.340703  0.159297
  3  F     0.340703  0.159297  0.75
  4  F     0.25      0.659297  0.840703
  5  F     0.159297  0.75      0.340703
  6  F     0.840703  0.25      0.659297
  7  F     0.659297  0.840703  0.25",3.11,"[[2.66310604, 0.00834164, 0.02129568], [0.00812819, 2.65724955, 0.01495206], [0.02136019, 0.01475766, 2.68997491]]","[[8.49850835, 0.12879423, 0.33094028000000003], [0.12858078, 8.40470935, 0.2311559], [0.33100479, 0.23096150000000001, 8.91191683]]",1.63,2.67,8.61,False
172,mp-1880,SbF3,8,40,140.216301774,"Full Formula (Sb2 F6)
Reduced Formula: SbF3
abc   :   4.620419   4.620419   7.116117
angles:  90.000000  90.000000 112.634171
Sites (8)
  #  SP           a         b        c
---  ----  --------  --------  -------
  0  Sb    0.23007   0.793844  0.25
  1  Sb    0.793844  0.23007   0.75
  2  F     0.309141  0.402991  0.25
  3  F     0.402991  0.309141  0.75
  4  F     0.968276  0.574702  0.93801
  5  F     0.574702  0.968276  0.06199
  6  F     0.968276  0.574702  0.56199
  7  F     0.574702  0.968276  0.43801",4.44,"[[2.672716, 0.10141045, -0.00013841], [0.10096937, 2.7589473, -0.00047805], [0.00013597000000000001, 0.00048089, 3.06172286]]","[[5.71849092, 1.47085855, -0.00080222], [1.4704174700000001, 6.96873492, -0.00221344], [-0.00052784, -0.0012545, 15.746145819999999]]",1.68,2.83,9.48,False
173,mp-27871,RhBr3,8,12,230.826920243,"Full Formula (Rh2 Br6)
Reduced Formula: RhBr3
abc   :   6.440461   6.440461   6.777505
angles:  99.202224  99.202227 119.944179
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Rh    0.83323   0.16677   0
  1  Rh    0.16677   0.83323   1
  2  Br    0.781154  0.781154  0.780495
  3  Br    0.218846  0.218846  0.219505
  4  Br    0.573681  0.928918  0.219121
  5  Br    0.071082  0.426319  0.780879
  6  Br    0.426319  0.071082  0.780879
  7  Br    0.928918  0.573681  0.219121",1.26,"[[7.06330711, -0.13569928, -0.48934929], [-0.1356514, 6.8895474100000005, -0.89466607], [-0.48934406, -0.89467785, 4.4204396599999995]]","[[7.69226734, -0.13400172000000002, -0.5499673900000001], [-0.13395384000000002, 7.514256939999999, -1.00735492], [-0.54996216, -1.0073667, 4.6742483]]",2.47,6.12,6.63,False
174,mp-19399,Cr2O3,10,167,103.163277499,"Full Formula (Cr4 O6)
Reduced Formula: Cr2O3
abc   :   5.453310   5.453310   5.453310
angles:  55.673452  55.673454  55.673457
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cr    0.849715  0.849715  0.849715
  1  Cr    0.650285  0.650285  0.650285
  2  Cr    0.150285  0.150285  0.150285
  3  Cr    0.349715  0.349715  0.349715
  4  O     0.05089   0.75      0.44911
  5  O     0.75      0.44911   0.05089
  6  O     0.44911   0.05089   0.75
  7  O     0.94911   0.25      0.55089
  8  O     0.55089   0.94911   0.25
  9  O     0.25      0.55089   0.94911",2.44,"[[6.28259551, 0.03312593, 0.09447381], [0.03422826, 6.2565232, 0.06375731], [0.09452239999999999, 0.06516261, 6.41458394]]","[[10.81707708, 0.22729682, 0.64035244], [0.22839915000000002, 10.63251742, 0.43225639], [0.64040103, 0.43366169, 11.69884975]]",2.51,6.32,11.05,False
175,mp-23739,SiH4,20,14,285.58425606,"Full Formula (Si4 H16)
Reduced Formula: SiH4
abc   :   5.041148   7.658035   7.613529
angles: 103.680124  90.000000  90.000000
Sites (20)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Si    0.925553  0.864394  0.248986
  1  Si    0.425553  0.635606  0.751014
  2  Si    0.074447  0.135606  0.751014
  3  Si    0.574447  0.364394  0.248986
  4  H     0.062535  0.021413  0.205115
  5  H     0.562535  0.478587  0.794885
  6  H     0.937465  0.978587  0.794885
  7  H     0.437465  0.521413  0.205115
  8  H     0.572357  0.210301  0.087226
  9  H     0.072357  0.289699  0.912774
 10  H     0.427643  0.789699  0.912774
 11  H     0.927643  0.710301  0.087226
 12  H     0.853918  0.414073  0.303346
 13  H     0.353918  0.085927  0.696654
 14  H     0.146082  0.585927  0.696654
 15  H     0.646082  0.914073  0.303346
 16  H     0.433637  0.311761  0.400986
 17  H     0.933637  0.188239  0.599014
 18  H     0.566363  0.688239  0.599014
 19  H     0.066363  0.811761  0.400986",6.56,"[[2.1808576, -4.195e-05, -0.00010256000000000001], [0.00016527, 2.22783247, 0.0269744], [4.108e-05, 0.02697881, 2.23712907]]","[[2.40541584, 0.00021433000000000002, -9.053e-05], [0.00042155000000000003, 2.49120547, 0.061636699999999996], [5.3110000000000005e-05, 0.06164111, 2.52715169]]",1.49,2.22,2.47,False
176,mp-1707,BaN6,14,11,237.796669685,"Full Formula (Ba2 N12)
Reduced Formula: BaN6
abc   :   4.442183   5.527773   9.806525
angles:  99.063003  90.000000  90.000000
Sites (14)
  #  SP       a         b         c
---  ----  ----  --------  --------
  0  Ba    0.75  0.829355  0.781228
  1  Ba    0.25  0.170645  0.218772
  2  N     0.75  0.29191   0.661893
  3  N     0.25  0.70809   0.338107
  4  N     0.25  0.140862  0.903747
  5  N     0.75  0.859138  0.096253
  6  N     0.25  0.351048  0.889997
  7  N     0.75  0.648952  0.110003
  8  N     0.25  0.559844  0.878458
  9  N     0.75  0.440156  0.121542
 10  N     0.25  0.778847  0.583149
 11  N     0.75  0.221153  0.416851
 12  N     0.25  0.743549  0.460544
 13  N     0.75  0.256451  0.539456",3.82,"[[2.38378275, 4.9199999999999995e-06, 2.182e-05], [-6.7e-06, 3.30279749, -0.19876034], [-2.385e-05, -0.19878712, 3.24745199]]","[[5.7933338800000005, -4.6490000000000004e-05, 1.594e-05], [-5.8110000000000004e-05, 8.53435715, -0.36638624000000003], [-2.973e-05, -0.36641302000000003, 8.38010612]]",1.73,2.98,7.57,False
177,mp-504769,N2O5,14,194,178.37507088400002,"Full Formula (N4 O10)
Reduced Formula: N2O5
abc   :   5.536690   5.536689   6.718978
angles:  90.000000  90.000000 120.000006
Sites (14)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  N     0.666667  0.333333  0.25
  1  N     0         0         0.75
  2  N     0.333333  0.666667  0.75
  3  N     0         0         0.25
  4  O     0.333333  0.666667  0.580158
  5  O     0.666667  0.333333  0.419842
  6  O     0.867512  0.735025  0.75
  7  O     0.666667  0.333333  0.080158
  8  O     0.264975  0.132488  0.75
  9  O     0.132488  0.264975  0.25
 10  O     0.132488  0.867512  0.25
 11  O     0.867512  0.132488  0.75
 12  O     0.333333  0.666667  0.919842
 13  O     0.735025  0.867512  0.25",0.66,"[[3.06671688, 2.94e-06, 5.195000000000001e-05], [-1.266e-05, 3.06672099, 0.00035892], [6.035e-05, -0.00036916, 2.96558817]]","[[3.6402936, 6.670000000000001e-05, 0.00019317], [5.1099999999999995e-05, 3.6427051699999993, 0.0006523999999999999], [0.00020157, -7.568000000000002e-05, 4.76101155]]",1.74,3.03,4.01,True
